artwork	subject
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500087419	http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ stola
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1600183135	http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ veste da statua
https://w3id.org/arco/resource/Lombardia/HistoricOrArtisticProperty/4f030-00332_R03	FUNERALI DI SAN MAIOLO @ http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ FUNERALI DI SAN MAIOLO
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100257684	http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ custodia
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900160696	http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ inginocchiatoio
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500447476	http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ 
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500662743	http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ lavabo da sacrestia
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500224474	http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ custodia
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900040971	http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ paramento liturgico
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500421982A	http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ CROCIFISSO
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0800233412	http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ reliquiario
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900014470	Dio Padre benedicente con angeli e simboli della Passione @ 11 C : 11 G 19 2 : 73 D 81 @ http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ Dio Padre benedicente con angeli e simboli della Passione
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1600036517A-0	allegoria della Virtù @ http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ allegoria della Virtù
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1000144881	http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ calice
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100200131	cherubini @ 11 G 12 @ http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ cherubini
https://w3id.org/arco/resource/HistoricOrArtisticProperty/1600047946	http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ mostra di finestra
https://w3id.org/arco/resource/HistoricOrArtisticProperty/0700099372	http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva @ stola
