"art","subj_descr"
"http://numismatics.org/sco/id/sc.1.914.1#reverse","Apollo"
"http://numismatics.org/ocre/id/ric.5.cara.499#reverse","Providentia"
"http://numismatics.org/ocre/id/ric.8.thes.162#obverse","Constantius II"
"http://numismatics.org/ocre/id/ric.5.cara.412#reverse","Spes"
"http://numismatics.org/ocre/id/ric.5.post.299#reverse","Artemis/Diana"
"http://numismatics.org/ocre/id/ric.1(2).ner.189#obverse","Nero"
"http://numismatics.org/ocre/id/ric.5.pro.455#obverse","Probus"
"http://numismatics.org/ocre/id/ric.3.m_aur.1460#reverse","Nike/Victoria/Victory"
"http://numismatics.org/ocre/id/ric.5.qu.49#reverse","Artemis/Diana"
"http://numismatics.org/pella/id/lerider.philip_ii.2.311#obverse","Zeus"
"http://numismatics.org/ocre/id/ric.2.tr.284_quinarius_aureus#obverse","Trajan"
"http://numismatics.org/ocre/id/ric.5.val_i.116#obverse","Valerian"
"http://numismatics.org/ocre/id/ric.5.pro.612#obverse","Probus"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.979#obverse","Hadrian"
"http://numismatics.org/ocre/id/ric.2.tr.611#obverse","Trajan"
"http://numismatics.org/ocre/id/ric.2.ner.28_aureus#reverse","Tyche/Fortuna"
"http://numismatics.org/ocre/id/ric.2_1(2).ves.179#obverse","Vespasian"
"http://numismatics.org/ocre/id/ric.7.aq.100#obverse","Crispus"
"http://numismatics.org/ocre/id/ric.4.gor_iii.97#obverse","Gordian III"
"http://numismatics.org/ocre/id/ric.5.cara.89#obverse","Carausius"
"http://numismatics.org/ocre/id/ric.7.rom.341#reverse","Nike/Victoria/Victory"
"http://numismatics.org/ocre/id/ric.1(2).gal.95#reverse","Roma @ Nike/Victoria/Victory"
"http://numismatics.org/ocre/id/ric.3.m_aur.491#reverse","Providentia"
"http://numismatics.org/ocre/id/ric.9.rom.64E.4#obverse","Honorius"
"http://numismatics.org/ocre/id/ric.3.ant.54B#obverse","Antoninus Pius"
"http://numismatics.org/pco/id/cpe.1_2.B265#obverse","Zeus/Jupiter Ammon @ Zeus"
"http://numismatics.org/ocre/id/ric.3.com.357#obverse","Commodus"
"http://numismatics.org/pella/id/price.1078#obverse","Zeus @ Heracles"
"http://numismatics.org/ocre/id/ric.5.gall(2).320#reverse","Ares/Mars"
"http://numismatics.org/ocre/id/ric.7.ar.84#obverse","Constantine I"
"http://numismatics.org/ocre/id/ric.7.anch.97#obverse","Constantine II"
"http://numismatics.org/sco/id/sc.1.1741#reverse","Apollo"
"http://numismatics.org/ocre/id/ric.5.tet_i.213#obverse","Tetricus I @ Tetricus II"
"http://numismatics.org/sco/id/sc.1.1907.1c#obverse","Demetrius II Nicator"
"http://numismatics.org/ocre/id/ric.4.sa.14c#obverse","Severus Alexander"
"http://numismatics.org/pella/id/price.1158#obverse","Zeus @ Heracles"
"http://numismatics.org/ocre/id/ric.9.thes.34H#obverse","Gratian"
"http://numismatics.org/ocre/id/ric.5.dio.396#reverse","Pax"
"http://numismatics.org/ocre/id/ric.3.m_aur.519#reverse","Herakles/Hercules"
"http://numismatics.org/ocre/id/ric.4.ph_i.126#obverse","Otacilia Severa"
