"art","art_label","subject1","subject2"
"https://d-nb.info/gnd/1205763627","The trial","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1211674630","Woyzeck","https://d-nb.info/standards/vocab/gnd/gnd-sc#12.2p",""
"https://d-nb.info/gnd/1219520772","Die beiden Schwestern","https://d-nb.info/standards/vocab/gnd/gnd-sc#12.2p",""
"https://d-nb.info/gnd/1219327905","Alte Meister","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1219988642","Die Ursache","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/4375735-2","Les passagers du vent","https://d-nb.info/standards/vocab/gnd/gnd-sc#12.2p @ https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/4500072-4","Les aventures de Blake et Mortimer","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1212635841","Die Biene Maja (Comic)","https://d-nb.info/standards/vocab/gnd/gnd-sc#12.2p @ https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1219793086","Der Weltverbesserer","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1141690845","Flughunde","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1219701645","Der Keller","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/4806222-4","Les frustrés","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4",""
"https://d-nb.info/gnd/120252804X","Ms. Marvel (Wilson)","https://d-nb.info/standards/vocab/gnd/gnd-sc#12.2p @ https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/120253936X","Alex + Ada","https://d-nb.info/standards/vocab/gnd/gnd-sc#12.2p @ https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1205488634","Und wenn die Wahrheit mich vernichtet","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4 @ https://d-nb.info/standards/vocab/gnd/gnd-sc#12.3","https://d-nb.info/gnd/4085377-9"
"https://d-nb.info/gnd/1217008543","Der Empörer","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1217009205","Der Menschenbildner","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1218707402","The Legend of Briar Rose (Buscot Park)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1219080144","Rapunzel","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.3",""
"https://d-nb.info/gnd/1219080519","Rapunzel in Marxwalde","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.7p",""
"https://d-nb.info/gnd/1219995304","Der gestiefelte Kater","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4",""
"https://d-nb.info/gnd/7750940-7","The Michael Kohlhaas Curtain","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.7p",""
"https://d-nb.info/gnd/1209167468","Fanferlieschen Schönefüßchen","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1212205731","Der tote Tag (Lithografie)","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.4p",""
"https://d-nb.info/gnd/1219833770","Von einem, der auszog, das Fürchten zu lernen","https://d-nb.info/standards/vocab/gnd/gnd-sc#13.7",""
