art,subject1,subj_qualified,subject2,subject3
http://www.wikidata.org/entity/Q311243,http://www.wikidata.org/entity/Q3306217 @ http://www.wikidata.org/entity/Q192196 @ http://www.wikidata.org/entity/Q8063 @ http://www.wikidata.org/entity/Q595942 @ http://www.wikidata.org/entity/Q2548061 @ http://www.wikidata.org/entity/Q39908 @ http://www.wikidata.org/entity/Q527 @ http://www.wikidata.org/entity/Q8441 @ http://www.wikidata.org/entity/Q1051130 @ http://www.wikidata.org/entity/Q386621 @ http://www.wikidata.org/entity/Q1347864 @ http://www.wikidata.org/entity/Q202466 @ http://www.wikidata.org/entity/Q14467155 @ http://www.wikidata.org/entity/Q133279 @ http://www.wikidata.org/entity/Q8502 @ http://www.wikidata.org/entity/Q12014035,,http://www.wikidata.org/entity/Q2548061,25H11 @ 41D3 @ 26B1 @ 51A1(+3) @ 61B111
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q12994 @ http://www.wikidata.org/entity/Q191709 @ http://www.wikidata.org/entity/Q35473 @ http://www.wikidata.org/entity/Q1986098 @ http://www.wikidata.org/entity/Q219160 @ http://www.wikidata.org/entity/Q200539 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q35197 @ http://www.wikidata.org/entity/Q8445 @ http://www.wikidata.org/entity/Q15978441 @ http://www.wikidata.org/entity/Q193837 @ http://www.wikidata.org/entity/Q144 @ http://www.wikidata.org/entity/Q80151 @ http://www.wikidata.org/entity/Q42177,,http://www.wikidata.org/entity/Q721857 @ http://www.wikidata.org/entity/Q17542312,"34B11 @ 31A511 @ 41A3321 @ 42D21 @ 61B2(ARNOLFINI, Giovanni) @ 61B2(CENAMI, Giovanna)"
http://www.wikidata.org/entity/Q17323982,http://www.wikidata.org/entity/Q1714282,,http://www.wikidata.org/entity/Q1714282,34B11 @ 25H
http://www.wikidata.org/entity/Q2489939,http://www.wikidata.org/entity/Q851918 @ http://www.wikidata.org/entity/Q302 @ http://www.wikidata.org/entity/Q51671 @ http://www.wikidata.org/entity/Q144 @ http://www.wikidata.org/entity/Q942467 @ http://www.wikidata.org/entity/Q345 @ http://www.wikidata.org/entity/Q3010 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q830 @ http://www.wikidata.org/entity/Q235113 @ http://www.wikidata.org/entity/Q488841,,http://www.wikidata.org/entity/Q488841,34B11 @ 48C149 @ 73B57(+3) @ 73B57(+2)
http://www.wikidata.org/entity/Q17335288,http://www.wikidata.org/entity/Q129987,,http://www.wikidata.org/entity/Q129987,34B11 @ 44B151211 @ 41D221(CAP)(+83) @ 44A5
http://www.wikidata.org/entity/Q17330483,http://www.wikidata.org/entity/Q316945 @ http://www.wikidata.org/entity/Q8436,,http://www.wikidata.org/entity/Q316945,34B11 @ 42B74 @ 61B2
http://www.wikidata.org/entity/Q1952284,http://www.wikidata.org/entity/Q851918 @ http://www.wikidata.org/entity/Q942467 @ http://www.wikidata.org/entity/Q3010 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q51671 @ http://www.wikidata.org/entity/Q345 @ http://www.wikidata.org/entity/Q1996453,,http://www.wikidata.org/entity/Q488841,34B11 @ 73B57(+3)
http://www.wikidata.org/entity/Q17336148,http://www.wikidata.org/entity/Q7192763 @ http://www.wikidata.org/entity/Q8436,,http://www.wikidata.org/entity/Q7192763,34B11 @ 42B74 @ 41A6711 @ 41D262 @ 42F5
http://www.wikidata.org/entity/Q17347340,http://www.wikidata.org/entity/Q75252721 @ http://www.wikidata.org/entity/Q144 @ http://www.wikidata.org/entity/Q7569,,http://www.wikidata.org/entity/Q75252721,34B11 @ 42B742 @ 31A5311
http://www.wikidata.org/entity/Q23898,http://www.wikidata.org/entity/Q47369 @ http://www.wikidata.org/entity/Q830183 @ http://www.wikidata.org/entity/Q8866546 @ http://www.wikidata.org/entity/Q1144593 @ http://www.wikidata.org/entity/Q8436 @ http://www.wikidata.org/entity/Q235113 @ http://www.wikidata.org/entity/Q3010 @ http://www.wikidata.org/entity/Q40662 @ http://www.wikidata.org/entity/Q15118669 @ http://www.wikidata.org/entity/Q618057 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q10791 @ http://www.wikidata.org/entity/Q44015 @ http://www.wikidata.org/entity/Q70899 @ http://www.wikidata.org/entity/Q180733 @ http://www.wikidata.org/entity/Q8441 @ http://www.wikidata.org/entity/Q1251541,,http://www.wikidata.org/entity/Q9309699,11H(JOHN THE BAPTIST) @ 11H(JOHN) @ 11(+5) @ 11F421 @ 11I62(ADAM & EVE)
http://www.wikidata.org/entity/Q25986,http://www.wikidata.org/entity/Q10791 @ http://www.wikidata.org/entity/Q756861 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q23841,,http://www.wikidata.org/entity/Q16930210,71P4121
