"art","subj_descr"
"https://w3id.org/zericatalog/artwork/41734","Strage degli innocenti"
"https://w3id.org/zericatalog/artwork/39405","Allegoria della Carità @ Allegoria della Carità (?)"
"https://w3id.org/zericatalog/artwork/34521","Ritratto di gentiluomo"
"https://w3id.org/zericatalog/artwork/46622","Adorazione del Bambino con san Giuseppe"
"https://w3id.org/zericatalog/artwork/16515","Giove fulmina i Giganti"
"https://w3id.org/zericatalog/artwork/45424","Crocifissione di Cristo"
"https://w3id.org/zericatalog/artwork/46502","Sacra Famiglia"
"https://w3id.org/zericatalog/artwork/adpcgj","Adorazione dei pastori @ Adorazione dei pastori (?)"
"https://w3id.org/zericatalog/artwork/38492","Ritratto di Alessandro de' Medici che esegue un disegno"
"https://w3id.org/zericatalog/artwork/39408","Veduta di città @ Putti reggifestone"
"https://w3id.org/zericatalog/artwork/33970","Noli me tangere"
"https://w3id.org/zericatalog/artwork/40409","Sacra Famiglia con san Giovannino e sant'Elisabetta"
"https://w3id.org/zericatalog/artwork/37670","Madonna con Bambino @ san Giovannino e sant'Elisabetta"
"https://w3id.org/zericatalog/artwork/48394","Contesa tra Minerva e Nettuno per il possesso dell'Attica"
"https://w3id.org/zericatalog/artwork/39686","Sacra Famiglia con san Giovannino e sant'Elisabetta"
"https://w3id.org/zericatalog/artwork/37005","San Sebastiano @ san Sebastiano"
"https://w3id.org/zericatalog/artwork/39189","Ritratto maschile"
"https://w3id.org/zericatalog/artwork/32104","Madonna con Bambino"
"https://w3id.org/zericatalog/artwork/35702","Maria Vergine annunciata e santa Caterina d'Alessandria"
"https://w3id.org/zericatalog/artwork/42815","Ritratto di Luisa Pico Gonzaga"
"https://w3id.org/zericatalog/artwork/40412","Assunzione della Madonna"
"https://w3id.org/zericatalog/artwork/37975","Madonna con Bambino"
"https://w3id.org/zericatalog/artwork/eeacgb","Ester e Assuero"
"https://w3id.org/zericatalog/artwork/16576","Gioele"
"https://w3id.org/zericatalog/artwork/17737","Deposizione di Cristo nel sepolcro"
"https://w3id.org/zericatalog/artwork/46876","Coppia di personaggi"
"https://w3id.org/zericatalog/artwork/51549","Maria Vergine annunciata"
"https://w3id.org/zericatalog/artwork/37254","Decapitazione di san Giovanni Battista"
"https://w3id.org/zericatalog/artwork/33312","Ecce Homo"
