artwork	prop1	prop2
http://dbpedia.org/resource/Statue_of_Rafael_Preciado_Hernández	http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Guadalajara @ http://dbpedia.org/resource/Category:Rotonda_de_los_Jaliscienses_Ilustres @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_Mexico @ http://dbpedia.org/resource/Category:Statues_in_Jalisco	http://dbpedia.org/resource/Rafael_Preciado_Hernández
http://dbpedia.org/resource/Portrait_of_Sir_David_Webster	http://dbpedia.org/resource/Category:1971_paintings @ http://dbpedia.org/resource/Category:20th-century_portraits @ http://dbpedia.org/resource/Category:Paintings_by_David_Hockney @ http://dbpedia.org/resource/Category:Portraits_of_men @ http://dbpedia.org/resource/Category:Royal_Opera_House	http://dbpedia.org/resource/David_Webster_(opera_manager)
http://dbpedia.org/resource/Statue_of_Jeannette_Rankin	http://dbpedia.org/resource/Category:1985_establishments_in_Washington,_D.C. @ http://dbpedia.org/resource/Category:1985_sculptures @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_Washington,_D.C. @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Washington,_D.C. @ http://dbpedia.org/resource/Category:Monuments_and_memorials_to_women @ http://dbpedia.org/resource/Category:National_Statuary_Hall_Collection @ http://dbpedia.org/resource/Category:Sculptures_of_women_in_Washington,_D.C.	http://dbpedia.org/resource/Jeannette_Rankin
http://dbpedia.org/resource/Defacement_(The_Death_of_Michael_Stewart)	http://dbpedia.org/resource/Category:1983_paintings @ http://dbpedia.org/resource/Category:Black_people_in_art @ http://dbpedia.org/resource/Category:Paintings_about_death @ http://dbpedia.org/resource/Category:Paintings_by_Jean-Michel_Basquiat @ http://dbpedia.org/resource/Category:Police_brutality_in_the_United_States @ http://dbpedia.org/resource/Category:Political_art	http://dbpedia.org/resource/Death_of_Michael_Stewart
http://dbpedia.org/resource/Afghan_Girl	http://dbpedia.org/resource/Category:1970s_births @ http://dbpedia.org/resource/Category:1980s_photographs @ http://dbpedia.org/resource/Category:1984_in_art @ http://dbpedia.org/resource/Category:1984_works @ http://dbpedia.org/resource/Category:Afghan_expatriates_in_Pakistan @ http://dbpedia.org/resource/Category:Child_refugees @ http://dbpedia.org/resource/Category:Color_photographs @ http://dbpedia.org/resource/Category:Cultural_depictions_of_Afghan_women @ http://dbpedia.org/resource/Category:Living_people @ http://dbpedia.org/resource/Category:Pashtun_women @ http://dbpedia.org/resource/Category:People_notable_for_being_the_subject_of_a_specific_photograph @ http://dbpedia.org/resource/Category:Photographs_of_children_in_war @ http://dbpedia.org/resource/Category:Photography_in_Afghanistan @ http://dbpedia.org/resource/Category:Portrait_photographs @ http://dbpedia.org/resource/Category:Works_originally_published_in_National_Geographic_(magazine)	http://dbpedia.org/resource/Sharbat_Gula
http://dbpedia.org/resource/Femme_nue_dormant_au_bord_de_l'eau	http://dbpedia.org/resource/Category:1921_paintings @ http://dbpedia.org/resource/Category:Nude_art @ http://dbpedia.org/resource/Category:Oil_on_canvas_paintings @ http://dbpedia.org/resource/Category:Paintings_in_the_collection_of_the_Strasbourg_Museum_of_Modern_and_Contemporary_Art @ http://dbpedia.org/resource/Category:Sleep	a sleeping nude in a landscape
http://dbpedia.org/resource/The_Little_Bridge	http://dbpedia.org/resource/Category:Dutch_Golden_Age_paintings @ http://dbpedia.org/resource/Category:Landscape_paintings @ http://dbpedia.org/resource/Category:Oil_paintings @ http://dbpedia.org/resource/Category:Paintings_in_the_collection_of_the_Musée_des_Beaux-Arts_de_Strasbourg	A wooden bridge over a canal
http://dbpedia.org/resource/A_Dawn_in_the_West	http://dbpedia.org/resource/Category:2013_sculptures @ http://dbpedia.org/resource/Category:Arcadia,_California @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_California @ http://dbpedia.org/resource/Category:Statues_in_California	http://dbpedia.org/resource/Lucky_Baldwin
http://dbpedia.org/resource/Candaules,_King_of_Lydia,_Shews_his_Wife_by_Stealth_to_Gyges,_One_of_his_Ministers,_as_She_Goes_to_Bed	http://dbpedia.org/resource/Category:1830_paintings @ http://dbpedia.org/resource/Category:Collection_of_the_Tate_galleries @ http://dbpedia.org/resource/Category:Gyges_of_Lydia @ http://dbpedia.org/resource/Category:Herodotus @ http://dbpedia.org/resource/Category:Nude_art @ http://dbpedia.org/resource/Category:Paintings_based_on_literature @ http://dbpedia.org/resource/Category:Paintings_by_William_Etty @ http://dbpedia.org/resource/Category:Works_about_monarchs	Queen Nyssia
http://dbpedia.org/resource/Statue_of_Horace_Greeley_(City_Hall_Park)	http://dbpedia.org/resource/Category:1890_sculptures @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_Manhattan @ http://dbpedia.org/resource/Category:Horace_Greeley @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Manhattan @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Manhattan @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_New_York_City @ http://dbpedia.org/resource/Category:Statues_in_New_York_City @ http://dbpedia.org/resource/Category:Statues_of_writers	http://dbpedia.org/resource/Horace_Greeley
http://dbpedia.org/resource/Spider_(Bourgeois)	http://dbpedia.org/resource/Category:1996_sculptures @ http://dbpedia.org/resource/Category:Bronze_sculptures @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_Colorado @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_Missouri @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_Washington,_D.C. @ http://dbpedia.org/resource/Category:Collections_of_the_National_Gallery_of_Art @ http://dbpedia.org/resource/Category:Culture_of_Denver @ http://dbpedia.org/resource/Category:Culture_of_Kansas_City,_Missouri @ http://dbpedia.org/resource/Category:National_Gallery_of_Art_Sculpture_Garden @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Colorado @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Missouri @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Washington,_D.C. @ http://dbpedia.org/resource/Category:Spiders_in_art @ http://dbpedia.org/resource/Category:Works_by_Louise_Bourgeois	Spider
