art,subj1,subj1Label,constr,constrLabel,qualifier,qualifierLabel,subj2,subj2Label,subj3,subj3Label
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q191709,lampadario,http://www.wikidata.org/prop/qualifier/P2677,http://www.wikidata.org/prop/qualifier/P2677,"pct:35.1782,2.54848,32.8279,18.1163","pct:35.1782,2.54848,32.8279,18.1163",http://www.wikidata.org/entity/Q721857,Giovanni Arnolfini,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q191709,lampadario,http://www.wikidata.org/prop/qualifier/P2677,http://www.wikidata.org/prop/qualifier/P2677,"pct:35.1782,2.54848,32.8279,18.1163","pct:35.1782,2.54848,32.8279,18.1163",http://www.wikidata.org/entity/Q17542312,Giovanna Cenami,34B11,34B11
http://www.wikidata.org/entity/Q2489939,http://www.wikidata.org/entity/Q302,Gesù,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q488841,Adorazione dei Magi,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q35197,specchio,http://www.wikidata.org/prop/qualifier/P1419,http://www.wikidata.org/prop/qualifier/P1419,http://www.wikidata.org/entity/Q12507,sfera,http://www.wikidata.org/entity/Q721857,Giovanni Arnolfini,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q35197,specchio,http://www.wikidata.org/prop/qualifier/P2677,http://www.wikidata.org/prop/qualifier/P2677,"pct:42.0015,24.0997,18.1198,12.0222","pct:42.0015,24.0997,18.1198,12.0222",http://www.wikidata.org/entity/Q721857,Giovanni Arnolfini,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q15978441,Cuffia,http://www.wikidata.org/prop/qualifier/P462,http://www.wikidata.org/prop/qualifier/P462,http://www.wikidata.org/entity/Q23444,bianco,http://www.wikidata.org/entity/Q721857,Giovanni Arnolfini,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q35197,specchio,http://www.wikidata.org/prop/qualifier/P1419,http://www.wikidata.org/prop/qualifier/P1419,http://www.wikidata.org/entity/Q12507,sfera,http://www.wikidata.org/entity/Q17542312,Giovanna Cenami,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q35197,specchio,http://www.wikidata.org/prop/qualifier/P2677,http://www.wikidata.org/prop/qualifier/P2677,"pct:42.0015,24.0997,18.1198,12.0222","pct:42.0015,24.0997,18.1198,12.0222",http://www.wikidata.org/entity/Q17542312,Giovanna Cenami,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q15978441,Cuffia,http://www.wikidata.org/prop/qualifier/P462,http://www.wikidata.org/prop/qualifier/P462,http://www.wikidata.org/entity/Q23444,bianco,http://www.wikidata.org/entity/Q17542312,Giovanna Cenami,34B11,34B11
http://www.wikidata.org/entity/Q2489939,http://www.wikidata.org/entity/Q345,Maria,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q488841,Adorazione dei Magi,34B11,34B11
http://www.wikidata.org/entity/Q2489939,http://www.wikidata.org/entity/Q830,Bos taurus taurus,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q488841,Adorazione dei Magi,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q144,cane,http://www.wikidata.org/prop/qualifier/P2677,http://www.wikidata.org/prop/qualifier/P2677,"pct:35.1782,82.4377,24.5641,16.3435","pct:35.1782,82.4377,24.5641,16.3435",http://www.wikidata.org/entity/Q721857,Giovanni Arnolfini,34B11,34B11
http://www.wikidata.org/entity/Q220859,http://www.wikidata.org/entity/Q80151,cappello,http://www.wikidata.org/prop/qualifier/P462,http://www.wikidata.org/prop/qualifier/P462,http://www.wikidata.org/entity/Q23445,nero,http://www.wikidata.org/entity/Q721857,Giovanni Arnolfini,34B11,34B11
