artwork	desc
http://data.europeana.eu/proxy/provider/90402/SK_A_2006	The women are all looking up at an apparition of a vague, floating female figure. What story is depicted here is not known. It might be a Turkish folk tale, or perhaps what we see are the hallucinations of women smoking opium.
http://data.europeana.eu/proxy/provider/90402/SK_A_3302	Pieces of Italian furniture, especially chests (cassoni), were often decorated with scenes from legends and Classical antiquity. Although cassoni were painted by some of the most important artists, the majority were produced by anonymous decorative painters. This panel, from one such cassone, depicts the Roman general Horatius Cocles defending the bridge to Rome against the Etruscans.
http://data.europeana.eu/proxy/provider/90402/SK_A_4674	This curious painting refuses to divulge its secrets. The image can be interpreted as an admonition to praise God with singing and music-making, but also as a risqué scene of seduction. The young woman’s gaudy garments and red shoes are in questionable taste, and the old woman looks suspiciously like a procuress. Perhaps the painting contains a warning against immoral conduct.
http://data.europeana.eu/proxy/provider/90402/SK_A_3776	The highest-ranking Dutch East India Company (VOC) official in Asia was the governor-general. He presided in the Castle of Batavia (now Jakarta, Indonesia), a fort built by the Dutch. The assembly hall in the Castle of Batavia was the centre of Dutch power in Asia. The walls were hung with portraits of all of the governors-general. Most of the 18th-century examples shown here were painted in Asia, often by anony¬mous artists.
http://data.europeana.eu/proxy/provider/90402/SK_A_1453	The poet and scholar Willem Bilderdijk was a committed monarchist, so in 1795 he refused to submit to French Republican rule in the Netherlands. He was exiled, but allowed to return under King Louis Napoleon. On the table is Bilderdijk’s uncompleted epic poem, The Destruction of the First World, written for Louis Napoleon. Sixth months later, the King abdicated, and Bilderdijk was once again deprived of a protector.
http://data.europeana.eu/proxy/provider/90402/SK_A_3999	Apollonio di Giovanni was one of the most prominent cassone specialists in Florence. Cassoni (chests) were often produced in pairs, mostly on the occasion of marriages, with depictions of heroic deeds. Here, the Persian ruler Darius is shown going to battle against Alexander the Great.
http://data.europeana.eu/proxy/provider/2063627/BEL_280_012	Ironing' is an iconic work by painter and sculptor Rik Wouters. It is an image of sunlight, warmth and brightness in the artist's home. With an intense sense of joie de vivre, Wouters succeeded here in enhancing the room around him. To him, daily life was always beautiful and pleasant. Nature was his principal source of inspiration. As an Impressionist, he considered our observation of nature to be a constant challenge. He painted, modelled and drew all aspects of life around him. The figure in the painting, Wouters' wife Nel, looks up from her ironing board unaffectedly. Beside her stands a basket with more clothes for ironing; behind her on the mantelpiece, a vase with flowers and a bell-jar, objects that capture and reflect the intense and shimmering light, with its subtle variations of soft yellow, pale pink and diluted green.
http://data.europeana.eu/proxy/provider/90402/SK_A_4703	"A descendant of a Javanese aristocratic family, as the title Raden indicates, Saleh came to the Netherlands in 1829 to study painting. He appears here as a European dandy, seated before a Western seascape. Soon, how-ever, he specialized in exotic scenes and began dressing as an oriental prince. Back on Java (1851), Raden Saleh built a Gothic Revival palace and socialized with the European elite, flitting between
his Javanese and European identity."
http://data.europeana.eu/proxy/provider/2063612/NO_280_010	"The Norwegian artist Anna-Eva Bergman (1909–1987) spent most of her life in France but Norway played an important role in her art. Her art underwent a transformation in the early 1950s, and became more abstract. Particularly fascinated by the Norwegian landscapes, nature and arctic light, she developed a form of abstracted landscapes and scenery based on her travels in North of Norway.  She is one of Norway’s modernist artists of the 1950’s and cultivated a formal idiom that focused on a handful of archetypal abstracted motifs within themes such as rocks, celestial bodies, mountains, fjords, horizons, boats and steles.

The painting N°2-1966 Finnmark Hiver, PVA and metal foil on canvas, 150 x 300 cm is an abstracted image of the arctic landscape from the most northern part of Norway close to the Russian border. Horizontally the image presents dark and light parts that show the contrasting rendering of a landscape in the dark winter season of northern  Norway. Bergman developed her painting technique by applying layers of metal foils and PVA on the canvas. In the lower part, reflecting silver foils depict the snow together with darker grey and yellow grassy parts of color. The silver both reflects and alludes inner light and enforces the shadow effects. Fragments of reindeer lichen emerges through the snow as darker grey spots and lets the reindeer grass its only nourishment. The relationship between the light landscape and the pitch black is creating a perspectival effect offering the viewer to gaze above and beyond the alpine tundra of Finnmarksvidda."
http://data.europeana.eu/proxy/provider/90402/SK_A_255	"On the death of William of Orange in 1584, his son Maurice was appointed stadtholder, the most important position in the Dutch Republic. In 1590 Maurice was also given command of the armed and naval forces. Maurice (1567-1625) is portrayed wearing the
gilded and engraved ceremonial armour that the States-General presented to him for his victory at the Battle of Nieuwpoort (1600)."
http://data.europeana.eu/proxy/provider/90402/SK_A_4472	The Dutch East India Company captured the town of Cannanore (now Kannur) on India’s southwest coast from the Portuguese in 1663. At that time, the Portuguese military position on the Malabar Coast had been seriously diminished so the company met with virtually no resistance. The region produced pepper and cardamom, the latter spice used to make sweet biscuits. The company ultimately lost Cannanore to the English.
http://data.europeana.eu/proxy/provider/90402/SK_A_4992	A man on a ladder has placed a noose around the neck of a statue of a saint, while below three men stand ready to topple it from its socle. At the right a statue has been brutally hacked in half. In August 1566 fanatic Protestants destroyed altarpieces, statues and sacred vessels used for the Catholic Mass in countless churches throughout the Netherlands. It was a black day in Dutch history, and one rarely depicted in art.
http://data.europeana.eu/proxy/provider/90402/SK_A_1619	Reinoud III of Brederode is portrayed here as a high official – with the insignia of the Order of the Golden Fleece, wearing expensive clothes and holding a richly decorated dagger in his hand. The nobleman was one of the chief supporters of Emperor Charles V, serving him in all kinds of important administrative roles.
http://data.europeana.eu/proxy/provider/2063621/FRA_280_001	4th quarter 16th century
http://data.europeana.eu/proxy/provider/2063619/CZR_280_007	Portrait of the gem-cutter Dionysius Misseroni (probably 1605/1607-1661) and his family – his wife, four sons and two daughters. The family is gathered around the table on which there are scattered jewels, gemstones and other precious products. In the background there opens a view of the gem-cutting workshop, its´ operation is depicted quite faithfully. On top of the sideboard on the left there are displayed various crystal vessels. One of them, called Pyramid, completed by 1653, provides the clue for the dating.
http://data.europeana.eu/proxy/provider/90402/SK_A_2845	"In the Catholic Church, the ‘Seven Works of Mercy’ served as a guiding principle for acts of human kindness. They are based on Christ’s teachings, as described in the Gospel of Matthew. Sweerts painted his series of – four of which four pictures are in the Rijksmuseum – while in Rome. His humble street scenes depict the
poorest of the poor with penetrating insight."
http://data.europeana.eu/proxy/provider/90402/SK_A_250	This old man holding a beer tankard looks out at us somewhat drowsily. The tally of the drinks he has consumed is chalked up on the slate behind him. The beer barrel at the left bears the mark of Het Rode Hert (The Red Hart), an Amsterdam brewery on the Prinsengracht. Metsu was living next door to it around 1650.
http://data.europeana.eu/proxy/provider/90402/SK_A_426	In 1613, the Dutch parliament (States General) commissioned Otto van Veen to paint twelve paintings depicting the revolt of the Batavians against the Romans in AD 69 and 70. These were displayed in Binnenhof, the central government building in The Hague. In the early years of the Dutch Republic, many compared their own revolt against Spain to the Batavian uprising.
http://data.europeana.eu/proxy/provider/90402/SK_A_294	"A painted sheet of paper at the lower left describes the subject: the battle between the Dutch and English
fleets off the Italian port of Livorno (Leghorn). Victory brought the Dutch control over trade in the Mediterranean. Nooms almost certainly painted the canvas for the Chamber of Levantine Trade in Amsterdam."
http://data.europeana.eu/proxy/provider/90402/SK_A_1105	Van Os spent his career mainly in Paris, where he painted porcelain for the famous Sèvres factory. At the same time, he created a furore with magnificently painted floral still lifes incorporating antique art objects. These two paintings probably belong to a series of the Four Seasons. In this painting of Spring, the flowers are arranged in a Greek vase.
http://data.europeana.eu/proxy/provider/90402/SK_A_3892	The beautiful Bathsheba bathes out of doors assisted by two maidservants. King David spies the young woman from the roof of his palace and instantly falls in love. Although he is not depicted in the painting, David’s presence is suggested by the castle in the distance. Curiously, the servant seen from behind has a male body.
http://data.europeana.eu/proxy/provider/90402/SK_A_2150	The painter Geertgen tot Sint-Jans lived in Haarlem in the monastery of the Sint-Jansheren (the Commandery of the Knights of Saint John), from which he took his name.The three magi represent the three generations and hail from the three continents known in the Middle Ages: Europe, Asia and Africa. They are paying tribute to the newborn baby Jesus.
http://data.europeana.eu/proxy/provider/90402/SK_C_1460	In 1812 Napoleon suffered a series of major defeats which allowed William Frederick, Prince of Orange-Nassau, to return to the Netherlands as monarch in 1813. A month after Napoleon’s escape from Elba, he proclaimed himself King of the United Netherlands (now the Netherlands and Belgium) and Duke of Luxemburg. After the Battle of Waterloo he was inaugurated in 1815 as King William I.
http://data.europeana.eu/proxy/provider/90402/SK_A_2704	Matthijs Maris claimed to have painted this picture in a single week in order to earn some quick cash. Maris, who lived in Paris, used a stereoscopic photograph of Amsterdam as his point of departure. He altered the photographic image and painted high-rise Parisian apartment buildings in the distance. The result is a dreamlike 19th-century cityscape, which reveals ever more details the longer one looks at it.
http://data.europeana.eu/proxy/provider/90402/SK_C_200	Three men and a woman discuss daily matters, and a child eats soup or porridge while a dog looks on. Peasant life does not seem at all bad. In Van Ostade’s early works, peasants regularly tumble over one another brawling, but in his later paintings, like this one, they are usually calmer and much more collected.
http://data.europeana.eu/proxy/provider/2063625/HU_280_007	Szinyei, who as a painter was firmly opposed to the public taste for blindly worshiping tradition, left Munich after completing Picnic in May in 1873, only returning there in his old age to receive an award. Unlike some of his compatriots, he did not move on to France to draw further inspiration for his innovative type of art, but went back to his homeland to marry his bride. In the village of Jernye, his growing family, his day-to-day problems and the unstimulating, rural environment conspired against any deep immersion in art. In 1878, however, the boldness of his youthful paintings gushed forth once more: the optimism he felt at the time can be seen in one of his most original conceptions, Balloon. The artist had long been intrigued by technical innovations – during his years at the Academy, he had once tried to construct an airplane – so a balloon trip taken by his brother-in-law immediately captured his imagination. Szinyei would have loved most of all to take part in the ascent, for up in the air a man can forget about all the trifling affairs of his fellowmen swarming down on the ground. In his painting, the conquest over gravity thus becomes a symbol both for human thought taking flight and for artistic freedom.
http://data.europeana.eu/proxy/provider/90402/SK_A_3902	Seventeen-year-old Ottavio Strada is portrayed in an unusual – allegorical – manner. He receives a cornucopia filled with ancient coins from Fortune, while turning away from a statue of Venus. The gold and silver signify not only his future riches, but also allude to his study of ancient coins, a pursuit in which he was trained by his father, the antiquary Jacopo Strada.
http://data.europeana.eu/proxy/provider/2063603/LIT_280_001	It is one of the oldest easel paintings in Lithuania, closely linked to Vytautas, the Grand Duke of Lithuania (reigning 1401-1430), and early Christianisation in Lithuania. Up until nowadays this image is considered to be miraculous and is an object of devotion not only for Catholic and Orthodox Christians, but also for local Muslims. Numerous ex-votos (gratitude gifts from pilgrims) displayed around the painting testifies such devotion.  Regarding the origin of the painting there are many legends but very little historical evidence to justify the stories. For example, an inscription on the back of the painting from the early 18th century states that it was given as a gift to Vytautas, the Grand Duke of Lithuania, on the occasion of his Baptism in 1386 by the Byzantine Emperor Manuel II Palaiologos (1350-1425). Inscription also states that this is the icon Nikopoia (Greek for “She who brings Victory”), which helped the Emperor John II Komnenos (1087-1143) to break through the Persian siege and successfully return to Constantinople. However, this inscription most likely was made shortly before 1718, when the image was adorned with crowns sent by Pope Clement XI from Rome and granted the title “Intercessor of Sick”. The painting of Trakai Mother of God stands out because of a unique combination of Byzantine, Medieval and Baroque styles. Research performed during the restoration of the painting shows that the oldest layer of paint contains a Late Gothic style full-figure image of the Blessed Virgin Mary. Originally the Mother of God was portrayed with her hair uncovered except for a transparent veil and perhaps wearing a crown of roses. However, at the start of the 17th century the painting seemed disproportionately large for a new central altar being installed in the Church. As a result the lower-part of the painting was trimmed. At the same time the background was engraved and gilded anew and the figure of Mary was repainted with Byzantine characteristics. Head and brow of the Mother of God were now covered not with a veil, but with heavy folds of cape. The image, as seen by pilgrims today, shows the Mother of God in the Hodegetria icon style. She is seated and looking towards the viewer. Christ the Child wearing a purple tunic sits on her right knee. He holds a book in his right hand and with his left hand reaches out to three roses with three blossoms each, held by the Mother of God. These roses symbolize the mysteries of the Rosary. There is a Greek cross painted on the forehead area of the cape and a star on the left shoulder. In Marian icons stars on the forehead and shoulder indicate the Virgin’s chastity. The painting is characterized, on the one hand, by the Byzantine iconographic scheme that seems to set its figures apart from earthly reality. At the same time, it also shows traits of Western European painting tradition during the late Middle Ages. In particular, broad clothing that conceals the figure under its folds and an idealized face that recalls the 15th century “completely beautiful” images of Mary (Tota Pulchra). Finally, the image of Trakai’ Mother of God is covered in gilded silver plate dating 1723-1724 made by Johann Friedrich Schömnick. The heads of Mary and Child are covered with the early 18th century crowns.
http://data.europeana.eu/proxy/provider/90402/SK_A_180	The man wearing extravagant Italian-looking clothing takes us by surprise. He appears from behind a tapestry and leans out of the window. He tries to engage with the viewer in order to clink glasses. So lifelike and convincing is Honthorst’s rendering that the fiddler seems to have slipped out from the frame of the painting to join us.
http://data.europeana.eu/proxy/provider/90402/SK_A_1610	"A grey horse, whose reins are held by a boy, plays the leading role in this small panel. The horse stands out
clearly against the dramatic cloudy sky. Wouwerman’s rendering of the animal with its almost palpable coat
is very lifelike. By choosing a low vantage point, the artist strengthened the painting’s monumental effect."
http://data.europeana.eu/proxy/provider/90402/SK_A_2102	So many flowers in a small glass of water! This must have made an exceedingly lavish impression on a 17th-century viewer. Flowers were expensive at the time; gardens would have had only a few flowers, surrounded by much greenery. Jan Brueghel II was a faithful follower of his father Jan Brueghel I. This sparkling still life is a variant of a painting by his father.
http://data.europeana.eu/proxy/provider/90402/SK_A_4026	A group of men push and shove to enter the door of the lottery agency –to the astonishment of passers-by and the general amusement of the hotel guests on either side. The scene is the start of the lottery ticket sales organized by the States General on 25 October 1779. This was the immediate forerunner of the National Lottery, which still exists, as does the house seen here.
http://data.europeana.eu/proxy/provider/90402/SK_A_772	Jacob Marrel’s specialized in ‘portraits’ of tulips in bloom. Tulip bulbs were collected fanatically in 17th-century Holland, and astronomical prices were sometimes paid for a single bulb. In this painting as well, tulips play a leading role. The whimsically shaped red-and-white and red-and-yellow striped tulips were especially prized. Although nature creates them, it also lets them wither and die – just like the dead frog at the right.
