artwork	subjects
http://lod.sztaki.hu/data/item/8577	grafika @ eredeti @ magyar @ 1886 @ szén @ kréta
http://lod.sztaki.hu/data/item/6350	eredeti @ fénykép @ ipari fotó 20. sz. eleje @ háziipar @ kötél @ kötélgyártás @ fotóművészet
http://lod.sztaki.hu/data/item/8631	grafika @ eredeti @ magyar @ akt @ 19. század vége @ ceruza @ kréta
http://lod.sztaki.hu/data/item/8416	grafika @ rézkarc @ eredeti @ magyar @ arckép @ 1921-1929
http://lod.sztaki.hu/data/item/6706	grafika @ rézkarc @ eredeti @ magyar @ 1921-1929
http://lod.sztaki.hu/data/item/7336	grafika @ eredeti @ magyar @ 1906-1914 @ életkép @ hidegtű
http://lod.sztaki.hu/data/item/8437	grafika @ rézkarc @ eredeti @ magyar @ tájkép @ 1921-1929
http://lod.sztaki.hu/data/item/6215	eredeti @ férfi @ fényképek @ 20. század eleje @ akt @ fotóművészet
http://lod.sztaki.hu/data/item/8405	grafika @ rézkarc @ eredeti @ magyar @ 1921-1929
http://lod.sztaki.hu/data/item/6499	eredeti @ magyar @ fénykép @ mappa @ fotóművészet @ műtárgyfotó 19. század vége @ iparművészet @ bőrdíszművesség
http://lod.sztaki.hu/data/item/7004	grafika @ rézkarc @ eredeti @ magyar @ életkép @ 1921-1929
http://lod.sztaki.hu/data/item/7246	grafika @ eredeti @ magyar @ fa @ tájkép @ növényábrázolás @ 1931-1949 @ tusrajz @ tollrajz
http://lod.sztaki.hu/data/item/9148	grafika @ eredeti @ magyar @ linóleummetszet @ csendélet
http://lod.sztaki.hu/data/item/8531	grafika @ eredeti @ magyar @ 1922 @ akvarell
http://lod.sztaki.hu/data/item/9161	grafika @ eredeti @ magyar @ iniciálé @ címlap @ montázs @ könyvtervezés @ tervezőgrafika
http://lod.sztaki.hu/data/item/7313	grafika @ eredeti @ magyar @ 1906-1914 @ litográfia
http://lod.sztaki.hu/data/item/8123	grafika @ rézkarc @ eredeti @ magyar @ látkép @ 1931-1949
http://lod.sztaki.hu/data/item/8955	grafika @ eredeti @ magyar @ ceruza @ kréta
http://lod.sztaki.hu/data/item/6793	grafika @ rézkarc @ eredeti @ magyar @ 1921-1929 @ város
http://lod.sztaki.hu/data/item/7613	grafika @ eredeti @ magyar @ ábrázolása @ linóleummetszet @ 1931-1949 @ munka
