"art","subj1","subj1Label","constr","qualifier","qualifierLabel","subj2","subj2Label","subj3","subj3Label"
"http://www.wikidata.org/entity/Q326887","http://www.wikidata.org/entity/Q144","dog","http://www.wikidata.org/prop/qualifier/P462","http://www.wikidata.org/entity/Q23445","black","http://www.wikidata.org/entity/Q242412","mobilization","33C225","33C225"
"http://www.wikidata.org/entity/Q3978277","http://www.wikidata.org/entity/Q10884","tree","none","none","none","http://www.wikidata.org/entity/Q16930210","Susanna and the Elders","71P4121","71P4121"
"http://www.wikidata.org/entity/Q974674","http://www.wikidata.org/entity/Q235113","angel","none","none","none","http://www.wikidata.org/entity/Q51628","Nativity of Jesus","73B13(+3)","73B13(+3)"
"http://www.wikidata.org/entity/Q326887","http://www.wikidata.org/entity/Q1279269","chignon","none","none","none","http://www.wikidata.org/entity/Q242412","mobilization","45F41","45F41"
"http://www.wikidata.org/entity/Q311243","http://www.wikidata.org/entity/Q192196","mist","none","none","none","http://www.wikidata.org/entity/Q2548061","Wanderlust","25H11","25H11"
"http://www.wikidata.org/entity/Q571122","http://www.wikidata.org/entity/Q8441","man","none","none","none","http://www.wikidata.org/entity/Q851918","adoration","73B13(+3)","73B13(+3)"
"http://www.wikidata.org/entity/Q83872","http://www.wikidata.org/entity/Q211841","coffeemaker","none","none","none","http://www.wikidata.org/entity/Q1226318","diner","43B311","43B311"
"http://www.wikidata.org/entity/Q326503","http://www.wikidata.org/entity/Q42177","bed","none","none","none","http://www.wikidata.org/entity/Q6649","lesbianism","41D92","41D92"
"http://www.wikidata.org/entity/Q20200781","http://www.wikidata.org/entity/Q642420","Christ","http://www.wikidata.org/prop/qualifier/P459","http://www.wikidata.org/entity/Q106429444","Metropolitan Museum of Art Tagging Initiative","http://www.wikidata.org/entity/Q51633","Last Supper","73D24","73D24"
"http://www.wikidata.org/entity/Q133508","http://www.wikidata.org/entity/Q1144593","sitting","none","none","none","http://www.wikidata.org/entity/Q494762","Leda and the Swan","92B1222","92B1222"
"http://www.wikidata.org/entity/Q326887","http://www.wikidata.org/entity/Q144","dog","http://www.wikidata.org/prop/qualifier/P518","http://www.wikidata.org/entity/Q13196750","left","http://www.wikidata.org/entity/Q242412","mobilization","45F41","45F41"
"http://www.wikidata.org/entity/Q729197","http://www.wikidata.org/entity/Q154326","Annunciation","none","none","none","http://www.wikidata.org/entity/Q154326","Annunciation","73A522","73A522"
