artwork	subject
http://yago-knowledge.org/resource/_Q19886621	http://yago-knowledge.org/resource/Adam_Mickiewicz
http://yago-knowledge.org/resource/Him_Q24045493	http://yago-knowledge.org/resource/Adolf_Hitler
http://yago-knowledge.org/resource/_Q3937506	http://yago-knowledge.org/resource/Diego_Rivera
http://yago-knowledge.org/resource/Diana,_Princess_of_Wales_(Bryan_Organ_portrait)	http://yago-knowledge.org/resource/Diana,_Princess_of_Wales
http://yago-knowledge.org/resource/Friede_sei_mit_Dir	http://yago-knowledge.org/resource/Die_Tageszeitung
http://yago-knowledge.org/resource/Portrait_of_Eleanor_of_Austria_Q56346244	http://yago-knowledge.org/resource/Eleanor_of_Austria
http://yago-knowledge.org/resource/Self_Portrait_Q25415587	http://yago-knowledge.org/resource/Edward_Hopper
http://yago-knowledge.org/resource/Self-Portrait_with_Palette_(Manet)	http://yago-knowledge.org/resource/Édouard_Manet
http://yago-knowledge.org/resource/Self-portrait_with_Green_Vest_Q11907350	http://yago-knowledge.org/resource/Eugène_Delacroix
http://yago-knowledge.org/resource/Portrait_of_Emile_Zola	http://yago-knowledge.org/resource/Émile_Zola
http://yago-knowledge.org/resource/Self-Portrait_with_Her_Daughter,_Julie_Q19273424	http://yago-knowledge.org/resource/Élisabeth_Vigée_Le_Brun
http://yago-knowledge.org/resource/Portrait_of_Ferdinand_I_Q3937524	http://yago-knowledge.org/resource/Ferdinand_I_of_Austria
http://yago-knowledge.org/resource/Portrait_of_Ferdinand_VI_as_a_Boy	http://yago-knowledge.org/resource/Ferdinand_VI_of_Spain
http://yago-knowledge.org/resource/Portrait_of_Josephine_de_Beauharnais_Q21727912	http://yago-knowledge.org/resource/Empress_Joséphine
http://yago-knowledge.org/resource/Self_Portrait_in_a_Straw_Hat_Q18719540	http://yago-knowledge.org/resource/Élisabeth_Vigée_Le_Brun
http://yago-knowledge.org/resource/Self-Portrait_Q11885512	http://yago-knowledge.org/resource/Elin_Danielson-Gambogi
http://yago-knowledge.org/resource/Portrait_of_Gala_Q19884276	http://yago-knowledge.org/resource/Gala_Dalí
http://yago-knowledge.org/resource/Virgin_among_the_Virgins_Q21013224	http://yago-knowledge.org/resource/Gerard_David @ http://yago-knowledge.org/resource/Madonna_and_Child_Q9309699
http://yago-knowledge.org/resource/Self-Portrait_with_Cropped_Hair_Q19884567	http://yago-knowledge.org/resource/Frida_Kahlo
http://yago-knowledge.org/resource/_Q60370469	http://yago-knowledge.org/resource/George_Frederick,_Margrave_of_Brandenburg-Ansbach
http://yago-knowledge.org/resource/_Q62091209	http://yago-knowledge.org/resource/Georges_Danton
http://yago-knowledge.org/resource/Athenaeum_Portrait	http://yago-knowledge.org/resource/George_Washington
http://yago-knowledge.org/resource/Equestrian_statue_of_Friedrich_Wilhelm_I	http://yago-knowledge.org/resource/Frederick_William,_Elector_of_Brandenburg
http://yago-knowledge.org/resource/General_George_Washington_at_Trenton	http://yago-knowledge.org/resource/George_Washington
http://yago-knowledge.org/resource/George_Washington_(John_Trumbull,_1790)	http://yago-knowledge.org/resource/George_Washington
http://yago-knowledge.org/resource/George_Washington_(Trumbull)	http://yago-knowledge.org/resource/George_Washington
http://yago-knowledge.org/resource/King_George's_Portrait_Q56682915	http://yago-knowledge.org/resource/George_I_of_Greece
http://yago-knowledge.org/resource/Lansdowne_portrait	http://yago-knowledge.org/resource/George_Washington
