artwork	subject
http://dbpedia.org/resource/Battle_of_Ostia_(painting)	The Battle of Ostia (Battaglia di Ostia) is a painting by the workshop of the Italian Renaissance artist Raphael. The painting was part of Raphael's commission to decorate the rooms that are now known as the Stanze di Raffaello, in the Apostolic Palace in the Vatican. It is located in the room that was named after The Fire in the Borgo, the Stanza dell'incendio del Borgo and was inspired by the naval battle fought in 849 between the Arab and a Christian League of Papal, Neapolitan and Gaetan ships. In the painting Pope Leo IV, with the features of Pope Leo X, is giving thanks after the Arab ships were destroyed by a storm.
http://dbpedia.org/resource/Floating_Clouds_(artwork)	"Floating Clouds (sometimes called Flying Saucers by the artist) is a work of art by American sculptor Alexander Calder, located in the Aula Magna of the University City of Caracas in Venezuela. The 1953 work comprises many 'cloud' panels that are renowned both artistically and acoustically. The piece is seen as ""one of Calder's most truly monumental works"" and the prime example of the urban-artistic theory of campus architect Carlos Raúl Villanueva. Originally intended as only an art piece, the panels were moved inside the Aula Magna to resolve the poor acoustics caused by the hall's design; the hall has since been said to have some of the best acoustics in the world. The Floating Clouds are named specifically in the UNESCO listing of the campus as a World Heritage Site, and are greatly renowned in Venezuela."
http://dbpedia.org/resource/Halbzeit	Halbzeit is a painting by the Luxembourgish artist Michel Majerus. Created in 2002, it was one of the last paintings by the artist before he died in an aviation accident, and is part of the collection of the Grand Duke Jean Museum of Modern Art (Mudam) in Luxembourg City (acquired in 2002). It is painted with acrylic paint on canvas and is 220 cm high and 200 cm wide.
http://dbpedia.org/resource/Italian_Hill_Town_(Arthur_B._Davies)	Italian Hill Town is an early 20th century painting by American artist Arthur B. Davies. Done in oil on canvas, the painting depicts a town set on a hillside (commonly referred to as Italian Hilltowns) in Italy. The painting is currently on display at the Metropolitan Museum of Art. Davies was a frequent visitor to Italy, especially after 1923, when he was in poor health and found it beneficial. He died there in 1928. The painting is on display at the Metropolitan Museum in Gallery 774.
http://dbpedia.org/resource/Savoyard_with_a_Marmot	"Savoyard with a Marmot is an oil on canvas painting of 1716 by the French Rococo artist Jean-Antoine Watteau (1684–1721). It depicts an itinerant musician/raconteur from Savoy. The painting depicts his clarinet and his trained companion marmot. Savoyards were known to utilize the animals at traveling shows and local fairs, having trained them to ""tell fortunes"" by pulling carded predictions from a hat. ""Lied des Marmottenbuben"" by Goethe, and Les deux petits savoyards both depict this. The painting is said to depict the Savoyard's disassociation and loneliness; Savoy was a poor region, and emigres were often marginal outcasts within the lands they decamped for. Earlier, in 1715, Watteau had drawn an older Savoy woman with her boxed marmot in ""Standing Savoyarde with a Marmot Box"", before expanding the depth of the depiction with this work. The painting was a part of Catherine the Great's collection, before transferring to the Hermitage Museum."
http://dbpedia.org/resource/Beethoven–Haydn–Mozart_Memorial	The Beethoven–Haydn–Mozart Memorial (German: Komponistendenkmal) is an outdoor memorial of 1904 to the classical composers Ludwig van Beethoven, Joseph Haydn and Wolfgang Amadeus Mozart, designed by Rudolf and Wolfgang Siemering and located in Tiergarten, Berlin, Germany. The monument was commissioned by Kaiser Wilhelm II. It suffered considerable damage during World War II and was only fully restored in 2005–2007.
http://dbpedia.org/resource/Resurrection_of_Christ_(Bellini)	Resurrection of Christ is a 1475–1479 painting by Giovanni Bellini. It was produced for the Marino Zorzi chapel in the mortuary church of San Michele di Murano in Venice. It has previously been attributed to Cima da Conegliano, Previtali, Bartolomeo Veneto and Marco Basaiti. It was acquired by the Gemäldegalerie, Berlin in 1903 and a full restoration shortly afterwards confirmed its attribution to Bellini.
http://dbpedia.org/resource/Bust_of_Cuauhtémoc	The bust of Cuauhtémoc was created by artist Jesús Fructuoso Contreras at the end of the 19th century. It was originally conceived by the artist as part of a set of sculptures of important Mexican historical figures that were installed in the Paseo de la Reforma between the years 1895 and 1899; however, the bust went on to spend many years housed in the atrium of the Mexico City Metropolitan Cathedral and only seen by the public during commemoration ceremonies. In 2007, as part of a remodeling effort in the Centro Histórico, the bust was moved to its current location at the Plaza de la Constitucion in Mexico City, Mexico.
http://dbpedia.org/resource/Le_Sommeil	Le Sommeil (translated in English variously as The Sleepers and Sleep) is an erotic oil painting on canvas by French artist Gustave Courbet created in 1866. The painting, which depicts a lesbian couple, is also known as the Two Friends (Les Deux Amies) and Indolence and Lust (Paresse et Luxure).
http://dbpedia.org/resource/The_Red_Tower_in_Halle	The Red Tower in Halle (German: Der Rote Turm in Halle) is an oil on canvas painting by the German expressionist painter Ernst Ludwig Kirchner, executed in 1915. It is now housed at Museum Folkwang, Essen.
http://dbpedia.org/resource/Flesh_and_Spirit_(painting)	Flesh and Spirit is a painting created by American artist Jean-Michel Basquiat circa 1982–83. The multi-panel painting, which is one of the largest ever made by Basquiat, sold for $30.7 million at Sotheby's in May 2018.
http://dbpedia.org/resource/Statue_of_Sveta_Sofia	The Statue of Sveta Sofia (Bulgarian: Статуя на Света София, romanized: Statuya na Sveta Sofiya) is a monumental sculpture in Sofia, Bulgaria. The statue, erected in 2000, stands in a spot once occupied by a statue of Lenin. Sophia was considered too erotic and pagan to be referred to as a saint. 24 feet in height, the copper and bronze statue by the sculptor , stands on a 48 feet high pedestal. Adorned with the symbols of power (crown), fame (wreath) and wisdom (owl), the crown is also a reference to the Goddess of Fate, Tyche, inspired by the old emblem of Sofia dating back to 1900.
http://dbpedia.org/resource/The_Dessert:_Harmony_in_Red_(The_Red_Room)	"The Dessert: Harmony in Red is a painting by French artist Henri Matisse, from 1908. It is considered by some critics to be Matisse's masterpiece. This Fauvist painting follows the example set by Impressionism with the overall lack of a central focal point. The painting was commissioned as ""Harmony in Blue,"" but Matisse was dissatisfied with the result, and so he painted it over with his preferred red. It is in the permanent collection of the Hermitage Museum."
http://dbpedia.org/resource/Altarpiece_of_the_Saints_John	The Altarpiece of the Saints John is a painting by Bernat Martorell conserved at the National Art Museum of Catalonia.
http://dbpedia.org/resource/The_Broken_Kilometer	The Broken Kilometer is a permanent art installation created by Walter De Maria inside a street-level storefront in the SoHo neighborhood of New York City. The piece consists of 500 round solid brass rods, 2 meters (6 ft 7 in) long by 2 inches (51 mm) in diameter, laid on the floor in 5 rows of 100 rods each. The space between the rods increase by 5 millimeters. The first two rods of each row are placed 80 millimeters apart, the last two rods are placed 570 millimeters apart. The work is illuminated with metal-halide stadium lights. Commissioned by the Dia Art Foundation in 1979, it has been on view to the public ever since. The Broken Kilometer is maintained by the Dia Art Foundation as one of the eleven locations and sites they manage. De Maria's 1977 artwork The Vertical Earth Kilometer in Kassel, Germany, is a companion piece to The Broken Kilometer.
http://dbpedia.org/resource/Bryant_Vase	The Bryant Vase is a late 19th-century vase currently in the collection of the Metropolitan Museum of Art.
http://dbpedia.org/resource/Cornet_(sculpture)	Cornet is an outdoor concrete and steel sculpture of a cornet by David Adickes, located in the Strand Historic District of Galveston, Texas, in the United States. Modeled after a cornet purchased at an antique shop in New Orleans, the 20 feet (6.1 m) by 26 feet (7.9 m) replica originally served as a stage prop at the 1984 Louisiana World Exposition. Adickes converted the prop into a freestanding sculpture for installation in Galveston in 1986.
http://dbpedia.org/resource/Boy_with_a_Glass_and_a_Lute	Boy with a Glass and a Lute is a painting by the Dutch Golden Age painter Frans Hals, painted in 1626 and now in the Guildhall Art Gallery, London.
http://dbpedia.org/resource/Statue_of_James_Paul_Clarke	James Paul Clarke is a marble sculpture depicting the American politician of the same name by Pompeo Coppini, installed in the United States Capitol's National Statuary Hall Collection, in Washington, D.C., as one of two statues gifted by the U.S. state of Arkansas. The 6 foot 10 inch tall statue was placed in the Hall in 1921. The work cost $7,500. and was unveiled in Washington in 1921.
http://dbpedia.org/resource/Memorial_to_Carlo_Barberini	The Memorial to Carlo Barberini is a large memorial, featuring two allegorical statues and an inscription. It was designed by the Italian artist Gian Lorenzo Bernini upon the death of Carlo in 1630, and subsequently executed by Bernini and his workshop. It is in the church of Santa Maria in Aracoeli in Rome.
