"art","description"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300009110","dipinto, opera isolata visitazione"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500052066","console"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900027234","camice"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500430167","lapide"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1201009671","coperta"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200953770-3","rilievo, nella lunetta parabola della pecora smarrita"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500344907","stampa RITRATTO DI FRANCESCO MARIA GRANDUCA DI TOSCANA"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1100069800","stendardo processionale angelo con ostensorio"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500556290","acquasantiera pensile, serie"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300065302A-1","dipinto, elemento d'insieme, sul dossale dell'altare Annunciazione"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100140268-0","paramento liturgico, insieme"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0700020599","croce processionale, opera isolata Cristo crocifisso/ evangelisti/ Cristo in trono"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1800036888","battente"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900334110","leggio pieghevole"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500255479-3","stola"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900037324","vetrata"
"https://w3id.org/arco/resource/SARDEGNA/HistoricOrArtisticProperty/2000213945","mostra di finestra"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500190900","stola"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500190928","cancellata di altare"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500072157","lume"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0901056369","disegno, opera isolata Figura maschile seduta"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500347439","stampa controfondata smarginata PAESAGGIO MARINO CON PESCATORI"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1900131192","stola"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500387170","cammeo testa di donna"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900505982","piviale"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0500313617","fonte battesimale, a fusto"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1000150317","mostra d'altare, insieme"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900021924","dipinto San Francesco d'Assisi riceve le stimmate"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500311765","placca ritratto d'uomo"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300031764","navicella portaincenso, opera isolata"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1200263171","reliquiario, a ostensorio"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/1500389211","bracciale"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0300200787","secchiello per l'acqua benedetta, opera isolata"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0900408477","miniatura Madonna col Bambino e San Giovannino"
