"art","desc"
"http://numismatics.org/sco/id/sc.1.1873#reverse","Nike advancing right, holding wreath and palm branch"
"http://numismatics.org/sco/id/sc.1.899.2#reverse","Apollo seated left on omphalos, testing arrow and resting left hand on grounded bow"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2350#reverse","Salus standing left, holding patera and sceptre; to left, altar"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2923#reverse","Pan seated left on rocks, head facing, resting hand on column; to left, altar; to right, dog and tree"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2223#reverse","Moneta standing left, holding scales and cornucopia"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2490#reverse","Concordia seated left, holding patera and resting arm on Spes; below throne, cornucopia"
"http://numismatics.org/sco/id/sc.1.2181.7a#reverse","Zeus seated on high-backed throne left, resting on scepter and holding Nike inside legend, offering wreath to Zeus"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.996-997#reverse","Hadrian standing left, Senator standing right, holding sceptre; between them, Roma standing right, holding spear and drawing Hadrian's hand toward the hand of the Senator"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2633#reverse","Felicitas standing left, holding caduceus and cornucopia"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1501#reverse","Alexandria standing left, holding sistrum and bowl containing snake"
"http://numismatics.org/sco/id/sc.1.199.1#reverse","Nike standing right, crowning trophy"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2020#reverse","Liberalitas standing left, holding coin scoop and cornucopia"
"http://numismatics.org/ocre/id/ric.10.maj_w.2631#reverse","Majorian, draped, cuirassed, standing front, holding long cross in right hand and Victory on globe in left hand; placing right foot on head of human-headed serpent"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2546#reverse","Concordia seated left, holding patera and resting arm on Spes; sometimes below throne, cornucopia"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1584-1586#reverse","Hadrian standing right, holding scroll and raising kneeling Hispania, holding olive branch; usually between them, rabbit"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1895-1896#reverse","Hadrian standing left, holding scroll and raising kneeling Sicilia, wearing triskeles headdress, holding corn ears"
"http://numismatics.org/sco/id/sc.1.991#reverse","Apollo seated left on omphalos, testing arrow and resting left hand on grounded bow"
"http://numismatics.org/sco/id/sc.1.606a#reverse","Apollo seated left on omphalos, testing arrow and resting left hand on grounded bow"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1160#reverse","Justitia seated left, holding patera and sceptre"
"http://numismatics.org/sco/id/sc.1.1907.4c#reverse","Apollo seated left on omphalos, testing arrow and resting left hand on grounded bow"
"http://numismatics.org/agco/id/newell.demetrius.91#reverse","Poseidon standing left, resting foot on rock and holding trident"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.1106#reverse","Liberalitas standing right, emptying cornucopia held in both hands"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.2599#reverse","Venus standing right, arranging drapery and holding apple"
"http://numismatics.org/sco/id/sc.1.1906.6c#reverse","Apollo seated left on omphalos, testing arrow and resting left hand on grounded bow"
