"art","description"
"http://www.wikidata.org/entity/Q12418","レオナルド・ダ・ヴィンチによる絵画"
"http://www.wikidata.org/entity/Q23898","Gemälde von Gerard David"
"http://www.wikidata.org/entity/Q23904","pintura de Giotto"
"http://www.wikidata.org/entity/Q208758","cuadru de Diego Velázquez"
"http://www.wikidata.org/entity/Q210277","pintura d'Édouard Manet"
"http://www.wikidata.org/entity/Q211293","pintura de Salvador Dalí"
"http://www.wikidata.org/entity/Q212616","obraz uložený v Louvru"
"http://www.wikidata.org/entity/Q219271","pintura de Joseph Mallord William Turner"
"http://www.wikidata.org/entity/Q219344","skildery van William Turner"
"http://www.wikidata.org/entity/Q219831","cuadru de Rembrandt"
"http://www.wikidata.org/entity/Q220859","pintura de Jan van Eyck"
"http://www.wikidata.org/entity/Q23908","pintura de Francesco Guardi"
"http://www.wikidata.org/entity/Q23912","maleri af Eugène Delacroix"
"http://www.wikidata.org/entity/Q23915","pintura de Domenico Ghirlandaio"
"http://www.wikidata.org/entity/Q23922","pintura de Ticianu"
"http://www.wikidata.org/entity/Q3191","פסל"
"http://www.wikidata.org/entity/Q4016","פסל"
"http://www.wikidata.org/entity/Q10144","פסל"
"http://www.wikidata.org/entity/Q11228","פסל"
"http://www.wikidata.org/entity/Q13161","פסל"
"http://www.wikidata.org/entity/Q21497","פסל"
"http://www.wikidata.org/entity/Q23312","archäologischer Fund"
"http://www.wikidata.org/entity/Q23356","פסל של אנונימי"
"http://www.wikidata.org/entity/Q31604","פסל"
"http://www.wikidata.org/entity/Q49676","פסל"
"http://www.wikidata.org/entity/Q52432","פסל"
"http://www.wikidata.org/entity/Q75822","פסל"
"http://www.wikidata.org/entity/Q85169","פסל"
"http://www.wikidata.org/entity/Q95648","bouwwerk in Duitsland"
"http://www.wikidata.org/entity/Q116580","Skulptur"
"http://www.wikidata.org/entity/Q126397","פסל"
"http://www.wikidata.org/entity/Q129260","פסל"
"http://www.wikidata.org/entity/Q130187","פסל"
"http://www.wikidata.org/entity/Q231953","pintura de Pieter Brueghel the Elder"
"http://www.wikidata.org/entity/Q232084","cuadru de Caspar David Friedrich"
"http://www.wikidata.org/entity/Q232087","cuadru de Caspar David Friedrich"
"http://www.wikidata.org/entity/Q23946","pintura de Domenico Ghirlandaio"
"http://www.wikidata.org/entity/Q24011","pintura de Jean Auguste Dominique Ingres"
"http://www.wikidata.org/entity/Q24066","pintura de Claude Lorrain"
"http://www.wikidata.org/entity/Q24090","Տիցիանի նկար"
"http://www.wikidata.org/entity/Q241455","pintura de Albrecht Altdorfer"
"http://www.wikidata.org/entity/Q245231","pintura de Bernhard Strigel"
"http://www.wikidata.org/entity/Q247282","taolenn gant Diego Velázquez"
"http://www.wikidata.org/entity/Q254923","pintura de Raffaello Sanzio"
"http://www.wikidata.org/entity/Q531989","פסל"
"http://www.wikidata.org/entity/Q535277","פסל"
"http://www.wikidata.org/entity/Q536779","פסל"
"http://www.wikidata.org/entity/Q538360","פסל"
"http://www.wikidata.org/entity/Q542996","presumed bust of Ceasar"
"http://www.wikidata.org/entity/Q543753","פסל"
"http://www.wikidata.org/entity/Q552113","sculpture"
"http://www.wikidata.org/entity/Q553189","פסל"
"http://www.wikidata.org/entity/Q558537","monumen di Jerman"
"http://www.wikidata.org/entity/Q562023","פסל"
"http://www.wikidata.org/entity/Q564623","פסל"
"http://www.wikidata.org/entity/Q568945","bouwwerk in Berlijn"
"http://www.wikidata.org/entity/Q569055","Skulptur von Jürgen Goertz"
"http://www.wikidata.org/entity/Q570442","Skulptur von Igael Tumarkin"
"http://www.wikidata.org/entity/Q573639","פסל"
"http://www.wikidata.org/entity/Q573683","تمثال في براونشفايغ، ألمانيا"
"http://www.wikidata.org/entity/Q577258","escultura"
"http://www.wikidata.org/entity/Q580263","פסל"
"http://www.wikidata.org/entity/Q581193","פסל"
"http://www.wikidata.org/entity/Q581804","פסל"
"http://www.wikidata.org/entity/Q582172","פסל"
"http://www.wikidata.org/entity/Q582428","Skulptur von Antoine Bourdelle"
"http://www.wikidata.org/entity/Q829650","fiktive Figur"
"http://www.wikidata.org/entity/Q831467","פסל"
"http://www.wikidata.org/entity/Q834066","פסל"
"http://www.wikidata.org/entity/Q849063","sculptuur van anonymus"
"http://www.wikidata.org/entity/Q856764","sculpture"
"http://www.wikidata.org/entity/Q860129","פסל"
"http://www.wikidata.org/entity/Q860957","antike griechischen Bronzestatue, die in vier römischen Marmorkopien der Büste überliefert ist"
"http://www.wikidata.org/entity/Q866412","nicht erhaltenes Bismarckdenkmal in Wuppertal-Elberfeld"
"http://www.wikidata.org/entity/Q867247","פסל"
"http://www.wikidata.org/entity/Q873906","Der Künstler des Werkes ist nach wie vor nicht endgültig geklärt."
"http://www.wikidata.org/entity/Q877089","פסל"
"http://www.wikidata.org/entity/Q880579","פסל"
"http://www.wikidata.org/entity/Q881611","monumen di Jerman"
"http://www.wikidata.org/entity/Q882148","Skulptur von Micha Ullman"
"http://www.wikidata.org/entity/Q889718","פסל"
"http://www.wikidata.org/entity/Q890669","פסל"
"http://www.wikidata.org/entity/Q896623","פסל"
"http://www.wikidata.org/entity/Q897474","פסל"
"http://www.wikidata.org/entity/Q897972","strukturë arkitekturore"
"http://www.wikidata.org/entity/Q907387","פסל"
"http://www.wikidata.org/entity/Q257048","maleri af Pieter Bruegel den ældre"
"http://www.wikidata.org/entity/Q257580","maleri af J.M.W. Turner"
"http://www.wikidata.org/entity/Q259012","skildery van Guercino"
"http://www.wikidata.org/entity/Q262360","pintura de Vincent van Gogh"
"http://www.wikidata.org/entity/Q24118","pintura de Josep de Ribera"
"http://www.wikidata.org/entity/Q24160","pintura de Rogier van der Weyden"
"http://www.wikidata.org/entity/Q24213","cuadru de Caspar David Friedrich"
"http://www.wikidata.org/entity/Q24249","Gemälde"
"http://www.wikidata.org/entity/Q130257","פסל"
"http://www.wikidata.org/entity/Q131397","פסל"
"http://www.wikidata.org/entity/Q140152","פסל"
"http://www.wikidata.org/entity/Q151785","bouwwerk in Berlijn"
"http://www.wikidata.org/entity/Q151952","פסל"
"http://www.wikidata.org/entity/Q152360","פסל"
