"art","description"
"https://w3id.org/zericatalog/artwork/11466","Artwork ""Robusti Jacopo , Martirio di san Lorenzo"" "
"https://w3id.org/zericatalog/artwork/11466","Opera d'arte ""Robusti Jacopo , Martirio di san Lorenzo"" "
"https://w3id.org/zericatalog/artwork/14099","Artwork ""Verrocchio Andrea, Leonardo da Vinci , Battesimo di Cristo"" "
"https://w3id.org/zericatalog/artwork/14099","Opera d'arte ""Verrocchio Andrea, Leonardo da Vinci , Battesimo di Cristo"" "
"https://w3id.org/zericatalog/artwork/16423","Artwork ""Bonaccorsi Pietro , San Giuliano l'Ospedaliere"" "
"https://w3id.org/zericatalog/artwork/16423","Opera d'arte ""Bonaccorsi Pietro , San Giuliano l'Ospedaliere"" "
"https://w3id.org/zericatalog/artwork/16424","Artwork ""Bonaccorsi Pietro , Creazione di Eva"" "
"https://w3id.org/zericatalog/artwork/16424","Opera d'arte ""Bonaccorsi Pietro , Creazione di Eva"" "
"https://w3id.org/zericatalog/artwork/16425","Artwork ""Grechi Michele , Circoncisione di Gesù"" , (component)"
"https://w3id.org/zericatalog/artwork/16425","Opera d'arte ""Grechi Michele , Circoncisione di Gesù"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/16426","Artwork ""Grechi Michele , Incontro di sant'Anna e san Gioacchino alla Porta Aurea"" , (component)"
"https://w3id.org/zericatalog/artwork/16426","Opera d'arte ""Grechi Michele , Incontro di sant'Anna e san Gioacchino alla Porta Aurea"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/16427","Artwork ""Grechi Michele , Annunciazione"" , (component)"
"https://w3id.org/zericatalog/artwork/16427","Opera d'arte ""Grechi Michele , Annunciazione"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/16428","Artwork ""Grechi Michele , Madonna con Bambino in trono tra santa Caterina d'Alessandria e sant'Apollonia"" "
"https://w3id.org/zericatalog/artwork/16428","Opera d'arte ""Grechi Michele , Madonna con Bambino in trono tra santa Caterina d'Alessandria e sant'Apollonia"" "
"https://w3id.org/zericatalog/artwork/16429","Artwork ""Bonaccorsi Pietro , Madonna con Bambino in trono"" "
"https://w3id.org/zericatalog/artwork/16429","Opera d'arte ""Bonaccorsi Pietro , Madonna con Bambino in trono"" "
"https://w3id.org/zericatalog/artwork/16430","Artwork ""Bonaccorsi Pietro , Storie di Alessandro Magno, San Michele Arcangelo, Imperatore Adriano, Figure allegoriche femminili e medaglioni con storie di san Paolo, Lotta tra creature marine, Trompe-l'oeil con figure maschili"" "
"https://w3id.org/zericatalog/artwork/16430","Opera d'arte ""Bonaccorsi Pietro , Storie di Alessandro Magno, San Michele Arcangelo, Imperatore Adriano, Figure allegoriche femminili e medaglioni con storie di san Paolo, Lotta tra creature marine, Trompe-l'oeil con figure maschili"" "
"https://w3id.org/zericatalog/artwork/17441","Artwork ""Pino Marco , Alessandro Magno prega nel Tempio"" , (component)"
"https://w3id.org/zericatalog/artwork/17441","Opera d'arte ""Pino Marco , Alessandro Magno prega nel Tempio"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/17442","Artwork ""Bonaccorsi Pietro, Pino Marco , Battaglia di Alessandro Magno contro Poro, re dell'India, Grottesche, Motivi floreali entro cornici, Putti alati, Imprese farnesiane"" , (component)"
"https://w3id.org/zericatalog/artwork/17442","Opera d'arte ""Bonaccorsi Pietro, Pino Marco , Battaglia di Alessandro Magno contro Poro, re dell'India, Grottesche, Motivi floreali entro cornici, Putti alati, Imprese farnesiane"" , (elemento d'insieme)"
"https://w3id.org/zericatalog/artwork/16431","Artwork ""Bonaccorsi Pietro , San Michele Arcangelo"" "
"https://w3id.org/zericatalog/artwork/16431","Opera d'arte ""Bonaccorsi Pietro , San Michele Arcangelo"" "
"https://w3id.org/zericatalog/artwork/16432","Artwork ""Bonaccorsi Pietro, Rietti Domenico , Storie di Apollo, Grottesche, Teoria di danzatori, Teoria di danzatori e suonatori, Impresa del delfino, Impresa del giglio di giustizia, Tempietti con muse"" , (cycle)"
"https://w3id.org/zericatalog/artwork/16432","Opera d'arte ""Bonaccorsi Pietro, Rietti Domenico , Storie di Apollo, Grottesche, Teoria di danzatori, Teoria di danzatori e suonatori, Impresa del delfino, Impresa del giglio di giustizia, Tempietti con muse"" , (ciclo)"
"https://w3id.org/zericatalog/artwork/16447","Artwork ""Bonaccorsi Pietro , Storie di Amore e Psiche"" "
