artwork	desc
http://lod.sztaki.hu/data/item/15375	"['István Dési Huber\'s art is similar to that of Derkovits, and his work, life, beliefs and entire activity were dedicated to the ideals of the proletariat. He considered painting a part of the class-conscious, socialist ideological fight. He was also an active  art theoretician.\n\nThe subjects of his pictures are workers, peasants, suburban streets, his native town, Dés, and the banks of the river Szamos, with trees bending into the water and bathing cattle. One of his most mature early works is ""Midday Rest"" which was presented to the Museum of Fine Arts by the Ministry of Culture in 1947. His art evolved from Cubism and Constructivism and later his means of expression became richer and his drama stronger. The colours of his later works are chiefly browns, grays and brick reds. In the thirties the principles of Derkovits and Dési Huber were adopted by the Group of Socialist Artists.']"
http://lod.sztaki.hu/data/item/15420	['The statue was commissiosned by Primate Count Imre Esterházy, Archbishop of Esztergom for the new Baroque High Altar of the Pozsony Cathedral which was erected instead of the old Gothic altar. The statue was removed duriing the neo-Gothic reatoration of the Cathedral in 1865, but since 1912 it was placed in the south nave of the Cathedral. Two statues of the Baroque altar representing angels, also by Donner, are in the Hungarian National Gallery.\n\nThe young Saint Martin on the rearing horse is depicted in Hungarian national ceremonial dress, and he bears the features of the young Imre Esterházy.']
http://lod.sztaki.hu/data/item/14831	"['""The Baptism of Vajk"" by Gyula Benczúr won First Prize in competition Minister of Culture József Eötvös announced with the purpose of promoting historical painting in Hungary. In the study prepared for the painting, which was eventually entered for the competition, a conspicuous group of pagan Hungarian was present. When the final picture was completed in 1875, there was no indication of the pagans, i.e. the opposition; after the political compromise between Hungary and Austria in 1867, those who financed the competition preferred a rendering of this decisive event without allusions to any conflicts. Vajk (the later King St. Stephen) is seen kneeling in the foreground, to be baptized by Saint Adalbert, dressed in ornate attire.\n\nWith the help of his ability to paint pompous materials and set up vivid compositions - which he acquired from his master, Piloty, and by studying the art of Rubens and Tiepolo, Benczúr created a representative tableau of Historicist painting. It is not without reason that Benczúr became the king of painting in Hungary during this period, the favourite of rulers and the aristocracy; moreover, he became a professor at the Academy of Art in Munich and later at the Master\'s School in Budapest. He possessed both technical virtuosity and the ability to conform with the requirements of his patrons - two assets which were necessary for obtaining his position in art.']"
http://lod.sztaki.hu/data/item/18351	"['Bertalan Székely, who produced great paintings in various different genres, first turned to the problem of capturing the gracious movements of female dancers in the 1860s, at the time of painting Ladislas V and Ulrik Cillei. Later the same theme reappeared in his series The Life of the Woman and The Life of the Lascivious Woman. He painted his ""The Dancer"" around 1875. Here he seems to have been much preoccupied with lighting and the impressionistic delineation of the tired dancer at rest. Despite the warm yellow-red tones, a quiet resignation dominates the painting - this mood is probably in reference to the letter the fragile female beauty is holding in her hand.']"
http://lod.sztaki.hu/data/item/14545	"['Ámos Imre pályája a posztimpresszionizmus hatása alatt indult. A fiatal festő munkásságát Berény Róbert és Bernáth Aurél művészete befolyásolta. E kezdeti, posztnagybányai kifejezésmódtól jutott el a 30-as évek elejére egyfajta vizionáló - gyermekkori emlékeit, a zsidó liturgia jeleneteit lebegően, álomszerűen megjelenítő - expresszionizmushoz, melynek kialakulásában meghatározó élményt jelentett számára Chagall művészete és 1937-es párizsi találkozása a festővel.\n\nÁbrázolásmódjának elkomorulásához természetesen erősen hozzájárult az Európát fenyegető háborús veszély, majd a II. világháború, amelynek kitörése után Ámos fizikai léte, egzisztenciája is bizonytalanná vált.\n\nFestészetének zaklatottá válását, messianisztikus voltát szimbolikus-expresszív-szürreális stílusának változásait arcképein is nyomon követhetjük. Az 1930-as Ady-maszkos önportréja még hagyományos beállítású, festésmódját is inkább a fény-árnyék hatások, a tömegek és nem a kontúrok kiemelése határozza meg. A Párizsban készült (1937) önarcképének modellátása, a figura képszéllel történő merész metszése viszont már megegyezik szöges, kalapácsos önportréjával, amely a leghangsúlyozottabban vágott, csupán a rekvizitumokat - szög, kalapács -, illetve a fejet premier plánban bemutató alkotása. E képen a környezet eltűnik, csak az elkínzott arc és az említett jelképek vannak jelen, jól kifejezve a szinte minden két háború közötti zsidó művész-értelmiség - Farkas István, Radnóti Miklós - pályáját jellemző fatalizmust.\n\nA festmény zöldes-sárga-barna színei az elmúlást sugallják. Ebből az iszapszín koloritból véreznek ki a körvonalakat megerősítő vörösek.', ""Ámos' career started under the influence of postimpressionism. His activity was particularly influenced by Róbert Berény and Aurél. After his initial post-Nagybánya style, he arrived at an expressionsm full of visions of his childhood, and of Jewish lithurgy. Chagall's art was of decisive importance in its development but the fact he met the great artist in person in 1937 was also significant.\n\nHis style became gloomier which was largely due to the war threatening Europe, World War II, and before long, Ámos' life and existence became uncertain.\n\nHis art became rhapsodic and messianic. His portraits reflect changes of symbolic-expressive-surrealistic style. His self-portrait of 1930 had a traditional arrangement, his style was characterized by the contrast of light and shadow, by contours and mass highlighted. The way he modelled his self-portrait in Paris in 1937, and the daring way the figure was cut off by the edge of the picture are similar to his self-portrait with nail and hammer, which is cut in a particularly stressed way: it depicts only accoutrements (nail and hammer) and the head in close-up. In this picture, the surroundings vanished, only the tortured face and the symbols are present expressing fatalism typical of Jewish intellectuals (e.g. István Farkas, Miklós Radnóti) between the two world wars.""]"
http://lod.sztaki.hu/data/item/18238	['This statue with three figures is the first and the most recognized work by Simay. It won several prizes in Hungary and abroad.']
http://lod.sztaki.hu/data/item/15318	"['After studying in Munich, Lajos Deák-Ébner worked in Paris for fifteen years. However, after his first visit to Szolnok in 1875, he spent every summer at its artists\' colony. His approach to ""plein air"" painting was formed by the influence of Millet and Bastien-Lepage. The landscape of the Great Hungarian Plain suited his method admirably: instead of Academic artificiality, Deák-Ébner wished to reveal the vivid complexity of life. If not in his style, Munkácsy\'s influence was discernible in the compassionate way he depicted the hard life of his impoverished models. ""Boat Warpers"", painted in 1878, is an excellent example of his pictures produced in Szolnok. The most striking qualities of these paintings are the beauty of tones and - especially in the case of the smaller works - the way the artist captured the sun-lit colour values.']"
http://lod.sztaki.hu/data/item/17434	"['Molnár painted this composition during his stay in Rome. The picture reflects the influence of Italian painting and that of neoclassicism. As for arrangement, it can be traced back to less major masters of trecento and quattrocento. There is tension between the foreground, where the madonna is portrayed, and the background. The figure of Joseph, the carpenter, suggests the devotion of religious pictures, the stylized landscape based on a strict perspective revives the compositons of early renaissance  but Mary\'s airy figure embodies 20th c. women. Her fashionable clothes different from those in traditional iconographies intensify the profane character.  This kind of dualism appears in several of Molnár\'s biblical pictures. His compositions reflect meditative contemplation rather than religious  devotion. Afer he had finished the picture, he gave it to Sári Megyeri, a writer and poetess, as a present, who lived in Paris and whose works Molnár illustrated. The title ""Madonna in Pullover"" came from her. She, in her turn, gave the picture to the Hungarian National Gallery as a present.', 'A mester a kompozícióját római tartózkodása idején festette. A kép híven tükrözi az olasz festészet hatását, magán viseli a neoklasszicizmus jellegzetességeit. Képi világát tekintve a mű a  trecento és quattrocento kismesterek hagyományaira vezethető vissza. A kép előterének Madonna ábrázolása és a háttér megkomponálása között ellentét feszül. József, az ács alakja a szentképek ünnepélyes áhítatát sugallja, a szigorú perspektívára épülő stilizált táj a kora reneszánsz kompozíciók világát éleszti újjá, de Máriájának légies alakja inkább a 20. századi nőtípus megtestesítője. A hagyományos ikonográfiától eltérő jellegű divatos ruházata is a profán színezetet fokozza. Ezzel a kettősséggel Molnár C. Pál legfőbb biblikus témájú festményén találkozhatunk. Képei inkább lírai meditatív szemlélődést sugallanak, mint szent áhítatot. A festményt a művész nem sokkal elkészülte után Megyeri Sárinak, a később Párizsban élő író-színésznőnek ajándékozta, akinek műveit illusztrálta is. Megyeri Sári - tőle származik a pulóveres elnevezés is - 1980-ban ajándékozta a képet a Magyar Nemzeti Galériának.']"
http://lod.sztaki.hu/data/item/19095	['The picture shows a detail of the jamb columns of the west portal of the Abbey Church at Ják.']
http://lod.sztaki.hu/data/item/16535	"[""The painting belongs to a series of eight paintings representing the interior of the St Mark's Basilica in Venice.""]"
