artwork	subject
http://yago-knowledge.org/resource/Laocoön_(El_Greco)	painting
http://yago-knowledge.org/resource/Faith_(painting)	painting by Piero del Pollaiolo
http://yago-knowledge.org/resource/Flaying_of_Marsyas_(Titian)	painting by Titian
http://yago-knowledge.org/resource/Fortitude_(Botticelli)	painting by Sandro Botticelli in the Uffizi
http://yago-knowledge.org/resource/Jimson_Weed_(painting)	painting by Georgia O'Keeffe
http://yago-knowledge.org/resource/Madonna_and_Child_with_an_Apple	painting by Carlo Crivelli in the Victoria and Albert Museum
http://yago-knowledge.org/resource/Man_and_Woman_Contemplating_the_Moon	painting by Caspar David Friedrich
http://yago-knowledge.org/resource/Mary_Magdalene_(Artemisia_Gentileschi)	painting by Artemisia Gentileschi
http://yago-knowledge.org/resource/Mystic_Marriage_of_St._Catherine_(Memling)	painting by Hans Memling
http://yago-knowledge.org/resource/Portrait_of_Giuliano_de'_Medici_(Botticelli,_Berlin)	portrait by Sandro Botticelli in the Gemäldegalerie, Berlin
http://yago-knowledge.org/resource/Self-Portrait_in_Tuxedo_Q2267583	painting by Max Beckmann
http://yago-knowledge.org/resource/Stigmate_of_Saint_Francis_Q3973585	painting of the Maestro della Croce 434 in the Uffizi
http://yago-knowledge.org/resource/The_Empress_Eugenie_Surrounded_by_her_Ladies_in_Waiting_Q3937441	painting by Franz Xaver Winterhalter
http://yago-knowledge.org/resource/_Q3977127	painting by Giorgione
http://yago-knowledge.org/resource/_Q5826944	painting by Annibale Carracci
http://yago-knowledge.org/resource/_Q60430871	painting by Georges Braque
http://yago-knowledge.org/resource/_Q60432577	painting by Georges Braque
http://yago-knowledge.org/resource/_Q60454884	painting by Pablo Picasso
http://yago-knowledge.org/resource/_Q60575803	painting by Marc Chagall
http://yago-knowledge.org/resource/_Q60621565	painting by René Magritte
http://yago-knowledge.org/resource/Mademoiselle_Caroline_Rivière	1806 portrait by Jean Auguste Dominique Ingres
http://yago-knowledge.org/resource/Mademoiselle_Rose	painting by Eugène Delacroix
http://yago-knowledge.org/resource/Madonna_and_Child_Q15935036	painting by Sandro Botticelli in the Louvre
http://yago-knowledge.org/resource/Madonna_and_Child_with_the_Young_St._John_the_Baptist_Q9500247	painting by Sandro Botticelli in the Louvre
http://yago-knowledge.org/resource/Marriage_of_the_Virgin_(Giordano)	painting by Luca Giordano
http://yago-knowledge.org/resource/Moses_Striking_the_Rock_Q11784786	painting by Jan Steen
http://yago-knowledge.org/resource/Orphan_Girl_at_the_Cemetery	painting by the French artist Eugène Delacroix
http://yago-knowledge.org/resource/Portrait_of_a_Elderly_Lady_Q11945393	painting by Hans Memling
http://yago-knowledge.org/resource/Portrait_of_an_Old_Woman_with_Folded_Hands	painting by Style of Jacob Backer
http://yago-knowledge.org/resource/Portrait_of_Andrea_Odoni	painting by Lorenzo Lotto
http://yago-knowledge.org/resource/Portrait_of_Émilie_Sériziat_and_Her_Son_Q3399409	painting by Jacques-Louis David
http://yago-knowledge.org/resource/Portrait_of_Maerten_Soolmans_Q19421105	painting by Rembrandt
http://yago-knowledge.org/resource/Adoration_of_the_Magi_(Veronese)	painting by Paolo Veronese in the National Gallery, London
http://yago-knowledge.org/resource/Christ_in_the_House_of_Martha_and_Mary_(Vermeer)	painting by Johannes Vermeer
http://yago-knowledge.org/resource/Ginevra_de'_Benci	painting by Leonardo da Vinci
http://yago-knowledge.org/resource/Improvisation_27_(Garden_of_Love_II)_Q19919146	painting by Vasily Kandinsky
http://yago-knowledge.org/resource/Interior_(Degas)	painting by Edgar Degas
http://yago-knowledge.org/resource/Madonna_and_Child_(Lippi)	painting by Filippo Lippi in the Uffizi
http://yago-knowledge.org/resource/Portrait_of_Cosimo_il_Vecchio_Q3937502	painting by Pontormo in the Uffizi
http://yago-knowledge.org/resource/Portrait_of_Fray_Hortensio_Félix_Paravacino	painting by El Greco
http://yago-knowledge.org/resource/Portrait_of_Marchesa_Brigida_Spinola-Doria	painting by Peter Paul Rubens
http://yago-knowledge.org/resource/Self-Portrait_(Inn_of_the_Dawn_Horse)	painting by Leonora Carrington
http://yago-knowledge.org/resource/_Q6106790	painting by Jean-Honoré Fragonard
http://yago-knowledge.org/resource/_Q61482571	painting by Georges Braque (Villeneuve-d'Ascq)
http://yago-knowledge.org/resource/_Q61520711	painting by Joan Miró
http://yago-knowledge.org/resource/A_Bearded_Carmelite_Saint_Q3949530	painting by Masaccio
http://yago-knowledge.org/resource/A_Beardless_Carmelite_Saint_Q3949531	painting by Masaccio
http://yago-knowledge.org/resource/A_Clinical_Lesson_at_the_Salpêtrière	painting by André Brouillet
http://yago-knowledge.org/resource/The_Evening_of_Ashura	painting by Mahmoud Farshchian
http://yago-knowledge.org/resource/The_Fortune_Teller_(de_La_Tour)	painting by Georges de La Tour
http://yago-knowledge.org/resource/The_Last_Drop_(Leyster)	painting by Judith Leyster
