artwork	subject
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_16880	schilderingen
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_16309	schilderingen
http://data.europeana.eu/proxy/provider/90402/SK_A_3758	Batavia
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20395264_fmd458543	die zwölf Apostel (als Gruppe), in der Regel mit Büchern oder Schriftrollen (nicht im biblischen Kontext), mit Paulus statt Judas
http://data.europeana.eu/proxy/provider/2023009/23096B51_priref_10626	fiets
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20318319_fmd455670	Musikinstrumente; Gruppe von Musikinstrumenten
http://data.europeana.eu/proxy/provider/90402/SK_A_742	http://iconclass.org/25F29(ARMADILLO)
http://data.europeana.eu/proxy/provider/2026116/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_t2_20065140_fmd474022	http://iconclass.org/11G
http://data.europeana.eu/proxy/provider/90402/SK_A_4624	Vliet, Adriaen van der
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_16896	schilderingen
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_417	schilderingen
http://data.europeana.eu/proxy/provider/90402/SK_A_4062	http://iconclass.org/41D262
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_16741	schilderingen
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20015539_616_246	Namen historischer Gebäude, Örtlichkeiten, Straßen, etc. (mit NAMEN)
http://data.europeana.eu/proxy/provider/90402/SK_A_502	urn:rijksmuseum:people:RM0001.PEOPLE.101716
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_16307	schilderingen
http://data.europeana.eu/proxy/provider/90402/SK_C_526	1720 - 1768
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_t2_20426987_fmd461106	die (nackte) weibliche Figur
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_575	beeldhouwwerken
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20318319_fmd455672	Ripa: Hore del giorno (Hora prima, Hora seconda, Hora terza, Hora quarta, Hora quinta, Hora sesta, Hora settima, Hora ottava, Hora nona, Hora decima, Hora undecima, Hora duodecima)
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_16958	personpersoonPerson
http://data.europeana.eu/proxy/provider/2023005/71053A51_priref_3317	beelden in hout
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_16156	schilderingen
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_472	schilderingen
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_16139	schilderingen
http://data.europeana.eu/proxy/provider/90402/SK_C_512	RM0001.THESAU.101863
http://data.europeana.eu/proxy/provider/90402/SK_A_2823	urn:rijksmuseum:thesaurus:RM0001.THESAU.53989
http://data.europeana.eu/proxy/provider/2058628/KF_objecten_1342424071825156397576	Middeleeuwse Schaffense poort, Hussentoren
http://data.europeana.eu/proxy/provider/90402/SK_A_35	http://iconclass.org/46C22341
http://data.europeana.eu/proxy/provider/2026116/Partage_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_t2_20065135_fmd474017	http://iconclass.org/11G
http://data.europeana.eu/proxy/provider/90402/SK_A_1460	urn:rijksmuseum:people:RM0001.PEOPLE.3777
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_3423	beeldhouwwerken
http://data.europeana.eu/proxy/provider/90402/SK_A_1587	urn:rijksmuseum:people:RM0001.PEOPLE.45808
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20318319_fmd455715	architektonische Details
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_30159122_147_920	Maria
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_21099	schilderingen
http://data.europeana.eu/proxy/provider/90402/SK_A_384	1650-11-14 - 1650-11-14
http://data.europeana.eu/proxy/provider/90402/SK_A_4853	http://iconclass.org/59B32
http://data.europeana.eu/proxy/provider/90402/SK_A_4988	Oost-Indië
http://data.europeana.eu/proxy/provider/2023005/71053A51_priref_1932	schilderijen, olieverf op doek
http://data.europeana.eu/proxy/provider/2063621/FRA_280_007	http://vocab.getty.edu/aat/300015636
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20186906_fmd457273	andere Darstellungsformen des gekreuzigten Christus (in nicht-narrativem Kontext)
http://data.europeana.eu/proxy/provider/90402/SK_A_4477	1660 - 1700
http://data.europeana.eu/proxy/provider/90402/RP_T_1987_9	http://iconclass.org/45D312
http://data.europeana.eu/proxy/provider/90402/SK_A_4988	Oost-Indische Compagnie
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_17002	schilderingen
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_16338	schilderingen
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_t3_20318269_fmd455760	Reichtum, Überfluss; Ripa: Opulenza, Richezza
http://data.europeana.eu/proxy/provider/2023007/PGRM_objects_34322	Stadswoning
http://data.europeana.eu/proxy/provider/2023006/24062A51_priref_23369	beeldhouwwerken
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20046488_139_397	Porträt einer Person
http://data.europeana.eu/proxy/provider/90402/SK_A_1163	http://iconclass.org/23A1
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20080008_340_009	Jupiter, der als Satyr verkleidet ist, nähert sich der schlafenden Antiope; ein Adler befindet sich in der Nähe
http://data.europeana.eu/proxy/provider/90402/SK_A_1683	http://iconclass.org/41D2
http://data.europeana.eu/proxy/provider/2048077/Athena_Plus_ProvidedCHO_Bildarchiv_Foto_Marburg_obj_20642990_606_276	allegorische Darstellung Europas; Ripa: Europa
http://data.europeana.eu/proxy/provider/2023005/71053A51_priref_2566	devotiebeelden in hout
