"art","s"
"http://www.wikidata.org/entity/Q12418","http://www.wikidata.org/entity/Q527"
"http://www.wikidata.org/entity/Q12418","http://www.wikidata.org/entity/Q8502"
"http://www.wikidata.org/entity/Q12418","http://www.wikidata.org/entity/Q12280"
"http://www.wikidata.org/entity/Q12418","http://www.wikidata.org/entity/Q15324"
"http://www.wikidata.org/entity/Q12418","http://www.wikidata.org/entity/Q107425"
"http://www.wikidata.org/entity/Q12418","http://www.wikidata.org/entity/Q153032"
"http://www.wikidata.org/entity/Q12418","http://www.wikidata.org/entity/Q2822867"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q467"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q3010"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q8436"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q8441"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q10791"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q40662"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q44015"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q47369"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q70899"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q180733"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q235113"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q618057"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q830183"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q1144593"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q1251541"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q8866546"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q15118669"
"http://www.wikidata.org/entity/Q23904","http://www.wikidata.org/entity/Q165005"
"http://www.wikidata.org/entity/Q23904","http://www.wikidata.org/entity/Q676555"
"http://www.wikidata.org/entity/Q23904","http://www.wikidata.org/entity/Q65592101"
"http://www.wikidata.org/entity/Q23908","http://www.wikidata.org/entity/Q1408415"
"http://www.wikidata.org/entity/Q23908","http://www.wikidata.org/entity/Q1548297"
"http://www.wikidata.org/entity/Q23912","http://www.wikidata.org/entity/Q19939"
"http://www.wikidata.org/entity/Q23915","http://www.wikidata.org/entity/Q7569"
"http://www.wikidata.org/entity/Q23915","http://www.wikidata.org/entity/Q2191986"
"http://www.wikidata.org/entity/Q23922","http://www.wikidata.org/entity/Q467"
"http://www.wikidata.org/entity/Q23922","http://www.wikidata.org/entity/Q35197"
"http://www.wikidata.org/entity/Q12418","http://www.wikidata.org/entity/Q153032"
"http://www.wikidata.org/entity/Q23898","http://www.wikidata.org/entity/Q9309699"
"http://www.wikidata.org/entity/Q23904","http://www.wikidata.org/entity/Q26714817"
"http://www.wikidata.org/entity/Q23946","http://www.wikidata.org/entity/Q691810"
"http://www.wikidata.org/entity/Q24011","http://www.wikidata.org/entity/Q15617727"
"http://www.wikidata.org/entity/Q24090","http://www.wikidata.org/entity/Q63977136"
"http://www.wikidata.org/entity/Q24249","http://www.wikidata.org/entity/Q370665"
