"art","art_label","subj","subj_label"
"http://numismatics.org/ocre/id/ric.3.com.292#reverse","RIC III Commodus 292","http://collection.britishmuseum.org/id/person-institution/80685","Virtus"
"http://numismatics.org/ocre/id/ric.4.ph_i.48A_denarius#obverse","RIC IV Philip I 48A (denarius)","http://nomisma.org/id/philip_the_arab","Philip the Arab"
"http://numismatics.org/ocre/id/ric.8.cnp.68#reverse","RIC VIII Constantinople 68","http://nomisma.org/id/constantine_i","Constantine I"
"http://numismatics.org/ocre/id/ric.4.ge.18#obverse","RIC IV Geta 18","http://nomisma.org/id/geta","Geta"
"http://numismatics.org/ocre/id/ric.8.sir.60#reverse","RIC VIII Sirmium 60","http://collection.britishmuseum.org/id/person-institution/60208","Roma"
"http://numismatics.org/sco/id/sc.1.1886j#obverse","Seleucid Coins (part 2) 1886j","http://nomisma.org/id/antiochus_iv","Antiochus IV Epiphanes"
"http://numismatics.org/ocre/id/ric.3.com.35_quinarius#obverse","RIC III Commodus 35 (quinarius)","http://nomisma.org/id/commodus","Commodus"
"http://numismatics.org/ocre/id/ric.5.dio.154#obverse","RIC V Diocletian 154","http://nomisma.org/id/diocletian","Diocletian"
"http://numismatics.org/ocre/id/ric.10.hon_w.1233#obverse","RIC X Honorius 1233","http://nomisma.org/id/arcadius","Arcadius"
"http://numismatics.org/ocre/id/ric.5.pro.359#reverse","RIC V Probus 359","http://collection.britishmuseum.org/id/person-institution/58247","Felicitas"
"http://numismatics.org/ocre/id/ric.5.gall(2).495a.1#reverse","RIC V Gallienus 495a: Subtype 1","http://collection.britishmuseum.org/id/person-institution/58616","Helios/Sol"
"http://numismatics.org/ocre/id/ric.7.anch.112#obverse","RIC VII Antioch 112","http://nomisma.org/id/dalmatius","Dalmatius"
"http://numismatics.org/ocre/id/ric.8.rom.93#reverse","RIC VIII Rome 93","http://collection.britishmuseum.org/id/person-institution/60915","Nike/Victoria/Victory"
"http://numismatics.org/crro/id/rrc-148.6#obverse","RRC 148/6","http://collection.britishmuseum.org/id/person-institution/60208","Roma"
"http://numismatics.org/ocre/id/ric.5.gall(1).348#obverse","RIC V Gallienus (joint reign) 348","http://nomisma.org/id/gallienus","Gallienus"
"http://numismatics.org/ocre/id/ric.6.sis.184a#obverse","RIC VI Siscia 184a","http://nomisma.org/id/severus_ii","Severus II"
"http://numismatics.org/ocre/id/ric.6.tri.644b#obverse","RIC VI Treveri 644b","http://nomisma.org/id/galerius","Galerius"
"http://numismatics.org/ocre/id/ric.4.sa.555#obverse","RIC IV Severus Alexander 555","http://nomisma.org/id/severus_alexander","Severus Alexander"
"http://numismatics.org/ocre/id/ric.5.gall(2).42.1#reverse","RIC V Gallienus 42: Subtype 1","http://collection.britishmuseum.org/id/person-institution/58260","Tyche/Fortuna"
"http://numismatics.org/ocre/id/ric.5.gall(2).395#obverse","RIC V Gallienus 395","http://nomisma.org/id/gallienus","Gallienus"
"http://numismatics.org/ocre/id/ric.5.pro.346#reverse","RIC V Probus 346","http://collection.britishmuseum.org/id/person-institution/57638","Concordia"
"http://numismatics.org/ocre/id/ric.5.val_i.94C.4#obverse","RIC V Valerian 94C: Subtype 4","http://nomisma.org/id/valerian","Valerian"
"http://numismatics.org/pella/id/price.2250A#obverse","Price 2250A","http://nomisma.org/id/heracles","Heracles"
"http://numismatics.org/ocre/id/ric.5.gall(2).341Af#reverse","RIC V Gallienus 341Af","http://collection.britishmuseum.org/id/person-institution/76227","Pax"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.11#reverse","RIC II, Part 3 (second edition) Hadrian 11","http://nomisma.org/id/trajan","Trajan"
"http://numismatics.org/ocre/id/ric.1(2).aug.105B#reverse","RIC I (second edition) Augustus 105B","http://collection.britishmuseum.org/id/person-institution/59284","Ares/Mars"
"http://numismatics.org/ocre/id/ric.6.tri.5#reverse","RIC VI Treveri 5","http://collection.britishmuseum.org/id/person-institution/57060","Athena/Minerva"
"http://numismatics.org/ocre/id/ric.1(2).vit.125#obverse","RIC I (second edition) Vitellius 125","http://nomisma.org/id/vitellius","Vitellius"
"http://numismatics.org/ocre/id/ric.5.car.85#reverse","RIC V Carus 85","http://collection.britishmuseum.org/id/person-institution/60915","Nike/Victoria/Victory"
"http://numismatics.org/pella/id/price.P197#obverse","Price P197","http://nomisma.org/id/zeus","Zeus"
"http://numismatics.org/ocre/id/ric.3.ant.109B#reverse","RIC III Antoninus Pius 109B","http://collection.britishmuseum.org/id/person-institution/60915","Nike/Victoria/Victory"
"http://numismatics.org/ocre/id/ric.4.crl.396#obverse","RIC IV Caracalla 396","http://nomisma.org/id/julia_domna","Julia Domna"
"http://numismatics.org/ocre/id/ric.3.m_aur.528#reverse","RIC III Marcus Aurelius 528","http://collection.britishmuseum.org/id/person-institution/59284","Ares/Mars"
"http://numismatics.org/sco/id/sc.1.2200.2#obverse","Seleucid Coins (part 2) 2200.2","http://nomisma.org/id/demetrius_ii_nicator","Demetrius II Nicator"
"http://numismatics.org/ocre/id/ric.3.com.340#reverse","RIC III Commodus 340","http://collection.britishmuseum.org/id/person-institution/58247","Felicitas"
"http://numismatics.org/ocre/id/ric.5.tet_i.57#obverse","RIC V Tetricus I 57","http://nomisma.org/id/tetricus_i","Tetricus I"
"http://numismatics.org/ocre/id/ric.3.com.76#obverse","RIC III Commodus 76","http://nomisma.org/id/commodus","Commodus"
"http://numismatics.org/sco/id/sc.1.1819#obverse","Seleucid Coins (part 2) 1819","http://nomisma.org/id/alexander_i_balas","Alexander I Balas"
"http://numismatics.org/ocre/id/ric.5.gall(2).215#obverse","RIC V Gallienus 215","http://nomisma.org/id/gallienus","Gallienus"
"http://numismatics.org/ocre/id/ric.5.dio.606#obverse","RIC V Diocletian 606","http://nomisma.org/id/maximian","Maximian"
"http://numismatics.org/sco/id/sc.1.1480.1d#obverse","Seleucid Coins (part 2) 1480.1d","http://nomisma.org/id/antiochus_iv","Antiochus IV Epiphanes"
"http://numismatics.org/ocre/id/ric.4.ph_i.75B#obverse","RIC IV Philip I 75B","http://nomisma.org/id/philip_the_arab","Philip the Arab"
"http://numismatics.org/ocre/id/ric.7.lug.62#reverse","RIC VII Lugdunum 62","http://collection.britishmuseum.org/id/person-institution/58616","Helios/Sol"
"http://numismatics.org/pella/id/price.3294#obverse","Price 3294","http://nomisma.org/id/athena","Athena"
"http://numismatics.org/pella/id/pella.philip_ii.247#obverse","PELLA Philip II 247","http://nomisma.org/id/zeus","Zeus"
"http://numismatics.org/ocre/id/ric.4.ss.24A_denarius#obverse","RIC IV Septimius Severus 24A (denarius)","http://nomisma.org/id/pertinax","Pertinax"
"http://numismatics.org/ocre/id/ric.2_3(2).hdn.891#obverse","RIC II, Part 3 (second edition) Hadrian 891","http://nomisma.org/id/hadrian","Hadrian"
"http://numismatics.org/ocre/id/ric.2_1(2).dom.203#obverse","RIC II, Part 1 (second edition) Domitian 203","http://nomisma.org/id/domitian","Domitian"
"http://numismatics.org/sco/id/sc.1.839#reverse","Seleucid Coins (part 1) 839","http://nomisma.org/id/zeus","Zeus"
"http://numismatics.org/ocre/id/ric.6.lon.7#obverse","RIC VI Londinium 7","http://nomisma.org/id/diocletian","Diocletian"
"http://numismatics.org/ocre/id/ric.5.gall(2).26#obverse","RIC V Gallienus 26","http://nomisma.org/id/gallienus","Gallienus"
"http://numismatics.org/pco/id/cpe.1_1.153#obverse","Coins of the Ptolemaic Empire Vol. I, Part 1, no. 153","http://nomisma.org/id/ptolemy_i","Ptolemy I Soter"
"http://numismatics.org/ocre/id/ric.4.aem.51C#reverse","RIC IV Aemilian 51C","http://collection.britishmuseum.org/id/person-institution/58658","Spes"
"http://numismatics.org/ocre/id/ric.4.el.188a#obverse","RIC IV Elagabalus 188a","http://nomisma.org/id/elagabalus","Elagabalus"
"http://numismatics.org/ocre/id/ric.9.her.24B.2#obverse","RIC IX Heraclea 24B: Subtype 2","http://nomisma.org/id/theodosius_i","Theodosius I"
"http://numismatics.org/ocre/id/ric.6.rom.372#reverse","RIC VI Rome 372","http://collection.britishmuseum.org/id/person-institution/58616","Helios/Sol"
"http://numismatics.org/ocre/id/ric.5.post.297#reverse","RIC V Postumus 297","http://collection.britishmuseum.org/id/person-institution/57951","Dioskouroi/Dioscuri"
"http://numismatics.org/ocre/id/ric.5.val_i.149#reverse","RIC V Valerian 149","http://nomisma.org/id/valerian","Valerian"
"http://numismatics.org/ocre/id/ric.9.cnp.13E.5#obverse","RIC IX Constantinople 13E: Subtype 5","http://nomisma.org/id/procopius","Procopius"
"http://numismatics.org/ocre/id/ric.9.thes.62C.1#obverse","RIC IX Thessalonica 62C: Subtype 1","http://nomisma.org/id/arcadius","Arcadius"
"http://numismatics.org/pella/id/price.P124#obverse","Price P124","http://nomisma.org/id/zeus","Zeus"
"http://numismatics.org/ocre/id/ric.7.sis.17#reverse","RIC VII Siscia 17","http://collection.britishmuseum.org/id/person-institution/58921","Zeus/Jupiter"
