"art","subj"
"http://www.wikidata.org/entity/Q31605","http://www.wikidata.org/entity/Q154326"
"http://www.wikidata.org/entity/Q29530","http://www.wikidata.org/entity/Q325956"
"http://www.wikidata.org/entity/Q16782","http://www.wikidata.org/entity/Q861534"
"http://www.wikidata.org/entity/Q38973","http://www.wikidata.org/entity/Q188212"
"http://www.wikidata.org/entity/Q33213","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q34599","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q47214","http://www.wikidata.org/entity/Q170266"
"http://www.wikidata.org/entity/Q41327","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q41673","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q42436","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q42537","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q42876","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q43192","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q45136","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q46008","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q46585","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q46835","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q47891","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q48160","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q48409","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q69295157","http://www.wikidata.org/entity/Q193220"
"http://www.wikidata.org/entity/Q59921","http://www.wikidata.org/entity/Q183534"
"http://www.wikidata.org/entity/Q59346","http://www.wikidata.org/entity/Q235113"
"http://www.wikidata.org/entity/Q63692","http://www.wikidata.org/entity/Q154250"
"http://www.wikidata.org/entity/Q23908","http://www.wikidata.org/entity/Q1408415"
"http://www.wikidata.org/entity/Q60149","http://www.wikidata.org/entity/Q372254"
"http://www.wikidata.org/entity/Q69311153","http://www.wikidata.org/entity/Q118087"
"http://www.wikidata.org/entity/Q67149642","http://www.wikidata.org/entity/Q67149414"
"http://www.wikidata.org/entity/Q69310788","http://www.wikidata.org/entity/Q164294"
"http://www.wikidata.org/entity/Q69310982","http://www.wikidata.org/entity/Q167477"
"http://www.wikidata.org/entity/Q69311554","http://www.wikidata.org/entity/Q167477"
"http://www.wikidata.org/entity/Q68938537","http://www.wikidata.org/entity/Q11755880"
"http://www.wikidata.org/entity/Q68938540","http://www.wikidata.org/entity/Q11755880"
"http://www.wikidata.org/entity/Q68938549","http://www.wikidata.org/entity/Q11755880"
"http://www.wikidata.org/entity/Q31212","http://www.wikidata.org/entity/Q80837"
"http://www.wikidata.org/entity/Q27411","http://www.wikidata.org/entity/Q200092"
"http://www.wikidata.org/entity/Q5930","http://www.wikidata.org/entity/Q906343"
"http://www.wikidata.org/entity/Q29816","http://www.wikidata.org/entity/Q190507"
"http://www.wikidata.org/entity/Q24249","http://www.wikidata.org/entity/Q370665"
"http://www.wikidata.org/entity/Q31791","http://www.wikidata.org/entity/Q154510"
"http://www.wikidata.org/entity/Q8907","http://www.wikidata.org/entity/Q891367"
"http://www.wikidata.org/entity/Q11618","http://www.wikidata.org/entity/Q906343"
"http://www.wikidata.org/entity/Q38970","http://www.wikidata.org/entity/Q80837"
"http://www.wikidata.org/entity/Q25188","http://www.wikidata.org/entity/Q544830"
"http://www.wikidata.org/entity/Q27536","http://www.wikidata.org/entity/Q484188"
"http://www.wikidata.org/entity/Q31971","http://www.wikidata.org/entity/Q351363"
"http://www.wikidata.org/entity/Q24258","http://www.wikidata.org/entity/Q590870"
"http://www.wikidata.org/entity/Q23871","http://www.wikidata.org/entity/Q611789"
"http://www.wikidata.org/entity/Q28289","http://www.wikidata.org/entity/Q484188"
"http://www.wikidata.org/entity/Q32734","http://www.wikidata.org/entity/Q351363"
"http://www.wikidata.org/entity/Q41754","http://www.wikidata.org/entity/Q80837"
"http://www.wikidata.org/entity/Q41854","http://www.wikidata.org/entity/Q80837"
"http://www.wikidata.org/entity/Q67204763","http://www.wikidata.org/entity/Q64509602"
"http://www.wikidata.org/entity/Q24953","http://www.wikidata.org/entity/Q630281"
"http://www.wikidata.org/entity/Q39722","http://www.wikidata.org/entity/Q192571"
"http://www.wikidata.org/entity/Q23946","http://www.wikidata.org/entity/Q691810"
"http://www.wikidata.org/entity/Q39370","http://www.wikidata.org/entity/Q232737"
"http://www.wikidata.org/entity/Q40895","http://www.wikidata.org/entity/Q189970"
"http://www.wikidata.org/entity/Q45384","http://www.wikidata.org/entity/Q80837"
"http://www.wikidata.org/entity/Q45692","http://www.wikidata.org/entity/Q80837"
"http://www.wikidata.org/entity/Q39571","http://www.wikidata.org/entity/Q276258"
"http://www.wikidata.org/entity/Q42198","http://www.wikidata.org/entity/Q214126"
"http://www.wikidata.org/entity/Q24910","http://www.wikidata.org/entity/Q750652"
"http://www.wikidata.org/entity/Q44085","http://www.wikidata.org/entity/Q170538"
"http://www.wikidata.org/entity/Q39719","http://www.wikidata.org/entity/Q328473"
"http://www.wikidata.org/entity/Q25760","http://www.wikidata.org/entity/Q765633"
"http://www.wikidata.org/entity/Q32381","http://www.wikidata.org/entity/Q563707"
"http://www.wikidata.org/entity/Q83872","43B311"
"http://www.wikidata.org/entity/Q75846","73D23"
"http://www.wikidata.org/entity/Q129433","31A2245"
"http://www.wikidata.org/entity/Q167082","29"
"http://www.wikidata.org/entity/Q128910","73D2"
"http://www.wikidata.org/entity/Q113262","61B11"
"http://www.wikidata.org/entity/Q166937","41A721"
"http://www.wikidata.org/entity/Q172354","25F711(BEE)"
"http://www.wikidata.org/entity/Q185372","41D221"
"http://www.wikidata.org/entity/Q133508","92B1222"
"http://www.wikidata.org/entity/Q133839","25F24"
"http://www.wikidata.org/entity/Q64800439","11D124"
"http://www.wikidata.org/entity/Q220859","34B11"
"http://www.wikidata.org/entity/Q175036","44F2"
"http://www.wikidata.org/entity/Q167209","92L7"
"http://www.wikidata.org/entity/Q151143","41D26611"
"http://www.wikidata.org/entity/Q152509","41D92"
"http://www.wikidata.org/entity/Q152851","25F6"
"http://www.wikidata.org/entity/Q152849","41D92"
"http://www.wikidata.org/entity/Q152867","41D92"
"http://www.wikidata.org/entity/Q153441","41D92"
"http://www.wikidata.org/entity/Q266435","34B11"
"http://www.wikidata.org/entity/Q167536","25F711(ANT)"
"http://www.wikidata.org/entity/Q172558","25F25(ELEPHANT)"
"http://www.wikidata.org/entity/Q196001","25F6"
"http://www.wikidata.org/entity/Q187065","49N"
"http://www.wikidata.org/entity/Q311243","25H11"
"http://www.wikidata.org/entity/Q208758","31A511"
"http://www.wikidata.org/entity/Q290918","73D24"
"http://www.wikidata.org/entity/Q335051","29"
"http://www.wikidata.org/entity/Q335774","29"
"http://www.wikidata.org/entity/Q328523","24A1"
"http://www.wikidata.org/entity/Q219344","46A181"
