"art","art_label","subj","subj_label"
"https://w3id.org/zericatalog/artwork/46570","Artwork ""Caliari Paolo , Madonna con Bambino e santa Caterina d'Alessandria"" ","https://w3id.org/zericatalog/subject/madonna-con-bambino-e-santa-caterina-dalessandria","Madonna con Bambino e santa Caterina d'Alessandria"
"https://w3id.org/zericatalog/artwork/34332","Artwork ""Anonimo , Compianto sul Cristo morto"" ","https://w3id.org/zericatalog/subject/compianto-sul-cristo-morto","Compianto sul Cristo morto"
"https://w3id.org/zericatalog/artwork/49095","Artwork ""Tisi Benvenuto , Sant'Antonio da Padova"" ","https://w3id.org/zericatalog/subject/santantonio-da-padova","sant'Antonio da Padova"
"https://w3id.org/zericatalog/artwork/41317","Artwork ""Cesi Bartolomeo , San Nicola di Bari"" ","https://w3id.org/zericatalog/subject/san-nicola-di-bari","san Nicola di Bari"
"https://w3id.org/zericatalog/artwork/45100","Artwork ""Caliari Paolo , Annunciazione"" , (component)","https://w3id.org/zericatalog/subject/annunciazione","Annunciazione"
"https://w3id.org/zericatalog/artwork/18822","Artwork ""Luciani Sebastiano , San Sebastiano"" ","https://w3id.org/zericatalog/subject/san-sebastiano","San Sebastiano"
"https://w3id.org/zericatalog/artwork/31993","Artwork ""Agresti Livio , Cristo crocifisso e angeli"" ","https://w3id.org/zericatalog/subject/cristo-crocifisso-e-angeli","Cristo crocifisso e angeli"
"https://w3id.org/zericatalog/artwork/43162","Artwork ""Anonimo veneziano sec. XVI , Ritratto di uomo con guanti"" ","https://w3id.org/zericatalog/subject/ritratto-di-uomo-con-guanti","Ritratto di uomo con guanti"
"https://w3id.org/zericatalog/artwork/35900","Artwork ""Botticini Raffaello , San Michele Arcangelo, san Gabriele Arcangelo e san Raffaele Arcangelo"" ","https://w3id.org/zericatalog/subject/san-michele-arcangelo","San Michele Arcangelo"
"https://w3id.org/zericatalog/artwork/32719","Artwork ""Barocci Federico , Riposo nella fuga in Egitto"" ","https://w3id.org/zericatalog/subject/riposo-nella-fuga-in-egitto","Riposo nella fuga in Egitto"
"https://w3id.org/zericatalog/artwork/47486","Artwork ""Sacchi Pietro Francesco , Sacra Famiglia con san Giovannino"" ","https://w3id.org/zericatalog/subject/sacra-famiglia-con-san-giovannino","Sacra Famiglia con san Giovannino"
"https://w3id.org/zericatalog/artwork/17613","Artwork ""Pino Marco , San Michele Arcangelo"" ","https://w3id.org/zericatalog/subject/san-michele-arcangelo","San Michele Arcangelo (?)"
"https://w3id.org/zericatalog/artwork/27641","Artwork ""Tiberio d'Assisi , Santa Chiara"" ","https://w3id.org/zericatalog/subject/santa-chiara","Santa Chiara"
"https://w3id.org/zericatalog/artwork/38810","Artwork ""Anonimo , Madonna con Bambino"" ","https://w3id.org/zericatalog/subject/madonna-con-bambino","Madonna con Bambino"
"https://w3id.org/zericatalog/artwork/29338","Artwork ""Antonio del Massaro , Madonna con Bambino in trono tra san Girolamo, san Francesco d'Assisi e angeli"" ","https://w3id.org/zericatalog/subject/san-francesco-dassisi-e-angeli","san Francesco d'Assisi e angeli"
"https://w3id.org/zericatalog/artwork/38808","Artwork ""Carucci Iacopo , Madonna con Bambino"" ","https://w3id.org/zericatalog/subject/madonna-con-bambino","Madonna con Bambino"
