artwork	subject
http://yago-knowledge.org/resource/Alexander_Hamilton_(Trumbull)	http://yago-knowledge.org/resource/Alexander_Hamilton
http://yago-knowledge.org/resource/August_Strindberg_Q18889393	http://yago-knowledge.org/resource/August_Strindberg
http://yago-knowledge.org/resource/Portrait_of_Albert_Verwey_Q17347433	http://yago-knowledge.org/resource/Albert_Verwey
http://yago-knowledge.org/resource/Portrait_of_Alessandro_Manzoni_Q27948860	http://yago-knowledge.org/resource/Alessandro_Manzoni
http://yago-knowledge.org/resource/Portrait_of_Alfonso_I_d'Este	http://yago-knowledge.org/resource/Alfonso_I_d'Este,_Duke_of_Ferrara
http://yago-knowledge.org/resource/Portrait_of_King_Alfonso_XIII_in_a_Hussar's_Uniform_Q59314264	http://yago-knowledge.org/resource/Alfonso_XIII_of_Spain
http://yago-knowledge.org/resource/Abraham_Lincoln_(Healy)	http://yago-knowledge.org/resource/Abraham_Lincoln
http://yago-knowledge.org/resource/Portrait_of_Cosimo_il_Vecchio_Q3937502	http://yago-knowledge.org/resource/Cosimo_de'_Medici
http://yago-knowledge.org/resource/Equestrian_statuette_of_Charlemagne	http://yago-knowledge.org/resource/Charlemagne
http://yago-knowledge.org/resource/_Q11824919	http://yago-knowledge.org/resource/Charles_IV_of_Spain
http://yago-knowledge.org/resource/_Q20088063	http://yago-knowledge.org/resource/Charlotte_Berend-Corinth
http://yago-knowledge.org/resource/_Q24170276	http://yago-knowledge.org/resource/Charlotte_Berend-Corinth
http://yago-knowledge.org/resource/_Q28497200	http://yago-knowledge.org/resource/Dante_Alighieri
http://yago-knowledge.org/resource/Autoportrait_Q2872715	http://yago-knowledge.org/resource/Claude_Monet
http://yago-knowledge.org/resource/Camille_Monet_on_her_deathbed_Q2381272	http://yago-knowledge.org/resource/Camille_Doncieux
http://yago-knowledge.org/resource/Camille_Q829572	http://yago-knowledge.org/resource/Camille_Doncieux
http://yago-knowledge.org/resource/Dante_and_His_Poem_Q9201581	http://yago-knowledge.org/resource/Dante_Alighieri
http://yago-knowledge.org/resource/Equestrian_statue_of_Charlemagne_(Cornacchini)	http://yago-knowledge.org/resource/Charlemagne
http://yago-knowledge.org/resource/Equestrian_statue_of_Charles_IV_of_Spain	http://yago-knowledge.org/resource/Charles_IV_of_Spain
http://yago-knowledge.org/resource/Portrait_of_an_Infanta._Catherine_of_Aragon_(%3F)_Q16329722	http://yago-knowledge.org/resource/Catherine_of_Aragon
http://yago-knowledge.org/resource/Portrait_of_Charles_IV_of_Spain	http://yago-knowledge.org/resource/Charles_IV_of_Spain
http://yago-knowledge.org/resource/Portrait_of_Charles_IV_of_Spain_Q11750094	http://yago-knowledge.org/resource/Charles_IV_of_Spain
http://yago-knowledge.org/resource/Portrait_of_Cosimo_I_de'_Medici	http://yago-knowledge.org/resource/Cosimo_I_de'_Medici,_Grand_Duke_of_Tuscany
http://yago-knowledge.org/resource/Young_woman_with_cats_Q1713330	http://yago-knowledge.org/resource/Charlotte_Berend-Corinth
http://yago-knowledge.org/resource/Portrait_of_Charles_of_Bourbon_in_Hunting_Dress	http://yago-knowledge.org/resource/Charles_III_of_Spain
http://yago-knowledge.org/resource/Statue_of_Chen_Yi	http://yago-knowledge.org/resource/Chen_Yi_(marshal)
http://yago-knowledge.org/resource/President_Barack_Obama_(painting)	http://yago-knowledge.org/resource/Barack_Obama
http://yago-knowledge.org/resource/_Q19886621	http://yago-knowledge.org/resource/Adam_Mickiewicz
http://yago-knowledge.org/resource/Him_Q24045493	http://yago-knowledge.org/resource/Adolf_Hitler
http://yago-knowledge.org/resource/Free_Nelson_Mandela_(sculpture)	http://yago-knowledge.org/resource/Nelson_Mandela
http://yago-knowledge.org/resource/Les_Demoiselles_d'Avignon	http://yago-knowledge.org/resource/Pablo_Picasso
http://yago-knowledge.org/resource/Self-Portrait_(Rubens,_London)	http://yago-knowledge.org/resource/Peter_Paul_Rubens
http://yago-knowledge.org/resource/_Q12142549	http://yago-knowledge.org/resource/Pablo_Picasso
http://yago-knowledge.org/resource/_Q2872716	http://yago-knowledge.org/resource/Pablo_Picasso
http://yago-knowledge.org/resource/_Q3630730	http://yago-knowledge.org/resource/Pablo_Picasso
http://yago-knowledge.org/resource/_Q61821982	http://yago-knowledge.org/resource/Pablo_Picasso
http://yago-knowledge.org/resource/_Q9639030	http://yago-knowledge.org/resource/Pablo_Picasso
http://yago-knowledge.org/resource/Artist's_portrait_with_hat_Q3185287	http://yago-knowledge.org/resource/Paul_Cézanne
http://yago-knowledge.org/resource/Honeysuckle_Bower	http://yago-knowledge.org/resource/Peter_Paul_Rubens
http://yago-knowledge.org/resource/Monument_to_Peter_I_(St._Michael's_Castle)	http://yago-knowledge.org/resource/Peter_the_Great
http://yago-knowledge.org/resource/Philip_II_in_Armour	http://yago-knowledge.org/resource/Philip_II_of_Spain
http://yago-knowledge.org/resource/Philip_IV,_King_of_Spain_Q4556657	http://yago-knowledge.org/resource/Philip_IV_of_Spain
http://yago-knowledge.org/resource/Portrait_de_l'artiste_(Self-portrait)_Q3630720	http://yago-knowledge.org/resource/Paul_Cézanne
http://yago-knowledge.org/resource/Portrait_de_l'artiste_au_fond_rose_Q1884998	http://yago-knowledge.org/resource/Paul_Cézanne
http://yago-knowledge.org/resource/Portrait_of_Philip_II	http://yago-knowledge.org/resource/Philip_II_of_Spain
http://yago-knowledge.org/resource/Portrait_of_Philip_II_of_Spain_Q23011453	http://yago-knowledge.org/resource/Philip_II_of_Spain
http://yago-knowledge.org/resource/Portrait_of_Philip_the_Good_(van_der_Weyden)	http://yago-knowledge.org/resource/Philip_the_Good
http://yago-knowledge.org/resource/Self_portrait_(Picasso,_1896)_Q8209960	http://yago-knowledge.org/resource/Pablo_Picasso
http://yago-knowledge.org/resource/Self_Portrait_(Yo)_Q3801048	http://yago-knowledge.org/resource/Pablo_Picasso
http://yago-knowledge.org/resource/Self_Portrait_By_Paul_Cézanne_Q28496857	http://yago-knowledge.org/resource/Paul_Cézanne
http://yago-knowledge.org/resource/Self_Portrait_Q25410156	http://yago-knowledge.org/resource/Paul_Cézanne
http://yago-knowledge.org/resource/Self-Portrait_(Rubens,_1638–1639)	http://yago-knowledge.org/resource/Peter_Paul_Rubens
http://yago-knowledge.org/resource/Self-Portrait_(Rubens,_Antwerp)	http://yago-knowledge.org/resource/Peter_Paul_Rubens
http://yago-knowledge.org/resource/Self-Portrait_in_a_Circle_of_Friends_from_Mantua	http://yago-knowledge.org/resource/Peter_Paul_Rubens
http://yago-knowledge.org/resource/Self-portrait_in_a_Soft_Hat_Q3630752	http://yago-knowledge.org/resource/Paul_Cézanne
http://yago-knowledge.org/resource/Self-Portrait_with_Palette_Q12843791	http://yago-knowledge.org/resource/Paul_Cézanne
